280:  ngồi (65840-66110 ms)
281:  yên (66110-66240 ms)
282:  vì (66240-66350 ms)
283:  sợ (66350-66520 ms)
284:  phản (66520-66760 ms)
285:  ứng (66760-66960 ms)
286:  giữ (66960-67160 ms)
287:  dội, (67160-67440 ms)
288:  từ (67440-67620 ms)
289:  tôn (67620-67790 ms)
290:  giáo (67790-68010 ms)
291:  và (68010-68140 ms)
292:  sã (68140-68270 ms)
293:  hội (68270-68490 ms)
294:  thời (68490-68750 ms)
295:  đó. (68750-69160 ms)
296:  Cuối (69160-69450 ms)
297:  cùng, (69450-69910 ms)
298:  ông (69910-69950 ms)
299:  chỉ (69950-70190 ms)
300:  công (70190-70330 ms)
301:  bố (70330-70470 ms)
302:  vội (70470-70650 ms)
303:  vàng (70650-70830 ms)
304:  khi (70830-70960 ms)
305:  phát (70960-71120 ms)
306:  hiện (71120-71340 ms)
307:  một (71340-71530 ms)
308:  nhà (71530-71680 ms)
309:  khoa (71680-71820 ms)
310:  học (71820-72010 ms)
311:  khác, (72010-72280 ms)
312:  Alfred (72280-72620 ms)
313:  Russell (72620-72970 ms)
314:  Wallace (72970-73340 ms)
315:  sắp (73340-73580 ms)
316:  công (73580-73910 ms)
317:  bố (73910-74070 ms)
318:  ý (74070-74180 ms)
319:  tưởng (74180-74590 ms)
320:  gần (74590-74860 ms)
321:  giống (74860-75210 ms)
322:  hết. (75210-75600 ms)
323:  Vậy (75640-75820 ms)
324:  đời (75820-76090 ms)
325:  tư, (76090-76560 ms)
326:  Darwin (76560-76590 ms)
327:  kết (76590-76810 ms)
328:  hôn (76810-77030 ms)
329:  với (77030-77220 ms)
330:  người (77220-77590 ms)
331:  em (77590-77680 ms)
332:  họ (77680-77860 ms)
333:  của (77860-78090 ms)
334:  chính (78090-78370 ms)
