  0: whisper='Charlie' (30-370ms)  |  script='Charlie'
  1: whisper='Chaplin' (370-670ms)  |  script='Chaplin'
  2: whisper='là' (670-850ms)  |  script='là'
  3: whisper='vua' (850-1080ms)  |  script='vua'
  4: whisper='hai' (1080-1090ms)  |  script='hài'
  5: whisper='căm' (1090-1300ms)  |  script='câm'
  6: whisper='huyền' (1300-1650ms)  |  script='huyền'
  7: whisper='thoại' (1650-1910ms)  |  script='thoại'
  8: whisper='khiến' (1910-2430ms)  |  script='khiến'
  9: whisper='cả' (2430-2560ms)  |  script='cả'
 10: whisper='thế' (2560-2670ms)  |  script='thế'
 11: whisper='giới' (2670-2950ms)  |  script='giới'
 12: whisper='cười' (2950-3590ms)  |  script='cười'
 13: whisper='mà' (3590-3720ms)  |  script='mà'
 14: whisper='không' (3720-3910ms)  |  script='không'
 15: whisper='cần' (3910-4160ms)  |  script='cần'
 16: whisper='nói' (4160-4360ms)  |  script='nói'
 17: whisper='một' (4360-4620ms)  |  script='một'
 18: whisper='lời.' (4620-4940ms)  |  script='lời'
 19: whisper='Nhưng' (4940-5310ms)  |  script='Nhưng'
 20: whisper='đời' (5310-5500ms)  |  script='đời'
 21: whisper='thật' (5500-5780ms)  |  script='thật'
 22: whisper='của' (5780-6010ms)  |  script='của'
 23: whisper='ông' (6010-6200ms)  |  script='ông'
 24: whisper='lại' (6200-6490ms)  |  script='lại'
 25: whisper='chẳng' (6490-6760ms)  |  script='chẳng'
 26: whisper='hải' (6760-6990ms)  |  script='hài'
 27: whisper='hước' (6990-7320ms)  |  script='hước'
 28: whisper='chút' (7320-7530ms)  |  script='chút'
 29: whisper='nào,' (7530-8010ms)  |  script='nào'
 30: whisper='ông' (8010-8090ms)  |  script='Ông'
 31: whisper='lớn' (8090-8270ms)  |  script='lớn'
 32: whisper='lên' (8270-8420ms)  |  script='lên'
 33: whisper='trong' (8420-8610ms)  |  script='trong'
 34: whisper='nghèo' (8610-8820ms)  |  script='nghèo'
 35: whisper='đối' (8820-9050ms)  |  script='đói'
 36: whisper='cùng' (9050-9230ms)  |  script='cùng'
 37: whisper='cực' (9230-9400ms)  |  script='cực'
 38: whisper='ở' (9400-9510ms)  |  script='ở'
 39: whisper='lôn' (9510-9650ms)  |  script='London'
 40: whisper='đôn.' (9650-10180ms)  |  script='Mẹ'
 41: whisper='Mẹ' (10180-10440ms)  |  script='bị'
 42: whisper='bị' (10440-10600ms)  |  script='bệnh'
 43: whisper='bệnh' (10600-10910ms)  |  script='tâm'
 44: whisper='tâm' (10910-11090ms)  |  script='thần'
 45: whisper='thần,' (11090-11650ms)  |  script='phải'
 46: whisper='phải' (11650-11780ms)  |  script='vào'
 47: whisper='vào' (11780-11980ms)  |  script='trại'
 48: whisper='trại' (11980-12280ms)  |  script='tế'
 49: whisper='tế' (12280-12470ms)  |  script='bần'
 50: whisper='bệnh,' (12470-12920ms)  |  script='còn'
 51: whisper='còn' (12920-13040ms)  |  script='cậu'
 52: whisper='cộng' (13040-13280ms)  |  script='bé'
 53: whisper='bé' (13280-13430ms)  |  script='Chaplin'
 54: whisper='Chaplin' (13430-13680ms)  |  script='tự'
 55: whisper='tự' (13680-13840ms)  |  script='bươn'
 56: whisper='buôn' (13840-14040ms)  |  script='chải'
 57: whisper='trải' (14040-14280ms)  |  script='trên'
 58: whisper='trên' (14280-14480ms)  |  script='đường'
 59: whisper='đường' (14480-14890ms)  |  script='phố'
 60: whisper='phố' (14890-15050ms)  |  script='từ'
 61: whisper='từ' (15050-15210ms)  |  script='rất'
 62: whisper='rất' (15210-15410ms)  |  script='nhỏ'
 63: whisper='nhỏ.' (15410-15860ms)  |  script='Người'
 64: whisper='Người' (15860-16240ms)  |  script='sau'
 65: whisper='sau' (16240-16380ms)  |  script='này'
 66: whisper='này' (16380-16570ms)  |  script='giàu'
 67: whisper='dấu' (16570-16800ms)  |  script='có'
 68: whisper='có' (16800-16940ms)  |  script='bậc'
 69: whisper='bất' (16940-17170ms)  |  script='nhất'
 70: whisper='nhất' (17170-17460ms)  |  script='Hollywood'
 71: whisper='Hollywood' (17460-18090ms)  |  script='từng'
 72: whisper='từng' (18090-18180ms)  |  script='không'
 73: whisper='không' (18180-18500ms)  |  script='có'
 74: whisper='có' (18500-18610ms)  |  script='nổi'
 75: whisper='nổi' (18610-18840ms)  |  script='bữa'
 76: whisper='bữa' (18840-19070ms)  |  script='ăn'
 77: whisper='An' (19070-19160ms)  |  script='no'
 78: whisper='No' (19160-19250ms)  |  script='thời'
 79: whisper='thời' (19250-19540ms)  |  script='thơ'
 80: whisper='thử' (19540-19770ms)  |  script='ấu'
 81: whisper='ấu.' (19770-20120ms)  |  script='Bộ'
 82: whisper='Bộ' (20120-20320ms)  |  script='ria'
 83: whisper='ZMF' (20320-20470ms)  |  script='mép'
 84: whisper='và' (20470-20620ms)  |  script='và'
 85: whisper='chứ' (20620-20890ms)  |  script='chiếc'
 86: whisper='kệ' (20890-21070ms)  |  script='gậy'
 87: whisper='huyền' (21070-21430ms)  |  script='huyền'
 88: whisper='thoại' (21430-21790ms)  |  script='thoại'
 89: whisper='của' (21790-22050ms)  |  script='của'
 90: whisper='T-Tramp,' (22050-22600ms)  |  script='The'
 91: whisper='thực' (22600-22790ms)  |  script='Tramp'
 92: whisper='ra' (22790-22860ms)  |  script='thực'
 93: whisper='chỉ' (22860-23050ms)  |  script='ra'
 94: whisper='là' (23050-23160ms)  |  script='chỉ'
 95: whisper='trang' (23160-23340ms)  |  script='là'
 96: whisper='phục' (23340-23580ms)  |  script='trang'
 97: whisper='ông' (23580-23710ms)  |  script='phục'
 98: whisper='mặc' (23710-23890ms)  |  script='ông'
 99: whisper='vội' (23890-24070ms)  |  script='mặc'
100: whisper='trong' (24070-24260ms)  |  script='vội'
101: whisper='vải' (24260-24440ms)  |  script='trong'
102: whisper='phút' (24440-24620ms)  |  script='vài'
103: whisper='trước' (24620-24920ms)  |  script='phút'
104: whisper='khi' (24920-25030ms)  |  script='trước'
105: whisper='quay,' (25030-25550ms)  |  script='khi'
106: whisper='không' (25550-25660ms)  |  script='quay'
107: whisper='hề' (25660-25870ms)  |  script='không'
108: whisper='có' (25870-25990ms)  |  script='hề'
109: whisper='kế' (25990-26160ms)  |  script='có'
110: whisper='hoạch.' (26160-26600ms)  |  script='kế'
111: whisper='Gép' (26600-26820ms)  |  script='hoạch'
112: whisper='ngậu' (26820-27000ms)  |  script='Ghép'
113: whisper='nhiên' (27000-27240ms)  |  script='ngẫu'
114: whisper='vài' (27240-27400ms)  |  script='nhiên'
115: whisper='món' (27400-27560ms)  |  script='vài'
116: whisper='đồ' (27560-27760ms)  |  script='món'
117: whisper='không' (27760-28020ms)  |  script='đồ'
118: whisper='ăn' (28020-28120ms)  |  script='không'
119: whisper='khớp' (28120-28360ms)  |  script='ăn'
120: whisper='và' (28360-28680ms)  |  script='khớp'
121: whisper='nhân' (28680-28720ms)  |  script='và'
122: whisper='vật' (28720-28880ms)  |  script='nhân'
123: whisper='biểu' (28880-29120ms)  |  script='vật'
124: whisper='tượng' (29120-29430ms)  |  script='biểu'
125: whisper='nhất' (29430-29680ms)  |  script='tượng'
126: whisper='lịch' (29680-29920ms)  |  script='nhất'
127: whisper='sử' (29920-30080ms)  |  script='lịch'
128: whisper='địa' (30080-30320ms)  |  script='sử'
129: whisper='ảnh' (30320-30520ms)  |  script='điện'
130: whisper='ra' (30520-30600ms)  |  script='ảnh'
131: whisper='đời' (30600-30840ms)  |  script='ra'
132: whisper='như' (30840-30990ms)  |  script='đời'
133: whisper='vậy.' (30990-31380ms)  |  script='như'
134: whisper='Chỉ' (31380-31580ms)  |  script='vậy'
135: whisper='tiết' (31580-31820ms)  |  script='Chi'
136: whisper='kỳ' (31820-31980ms)  |  script='tiết'
137: whisper='sắp' (31980-32180ms)  |  script='gây'
138: whisper='nhất,' (32180-32540ms)  |  script='sốc'
139: whisper='Chaplin' (32540-32780ms)  |  script='nhất'
140: whisper='kết' (32780-32980ms)  |  script='Chaplin'
141: whisper='hôn' (32980-33140ms)  |  script='kết'
142: whisper='bốn' (33140-33340ms)  |  script='hôn'
143: whisper='lần,' (33340-33900ms)  |  script='4'
144: whisper='nhiều' (33900-33970ms)  |  script='lần'
145: whisper='cuộc' (33970-34180ms)  |  script='nhiều'
146: whisper='khôn' (34180-34340ms)  |  script='cuộc'
147: whisper='nhân' (34340-34540ms)  |  script='hôn'
148: whisper='vướng' (34540-34860ms)  |  script='nhân'
149: whisper='tranh' (34860-35060ms)  |  script='vướng'
150: whisper='cãi' (35060-35220ms)  |  script='tranh'
151: whisper='vì' (35220-35370ms)  |  script='cãi'
152: whisper='tranh' (35370-35540ms)  |  script='vì'
153: whisper='lệnh' (35540-35810ms)  |  script='chênh'
154: whisper='tuổi' (35810-36020ms)  |  script='lệch'
155: whisper='tác' (36020-36340ms)  |  script='tuổi'
156: whisper='lớn.' (36340-36620ms)  |  script='tác'
157: whisper='Cuộc' (36620-36920ms)  |  script='lớn'
158: whisper='khôn' (36920-37220ms)  |  script='Cuộc'
159: whisper='nhân' (37220-37430ms)  |  script='hôn'
160: whisper='cuối,' (37430-37830ms)  |  script='nhân'
161: whisper='ông' (37830-38030ms)  |  script='cuối'
162: whisper='54' (38030-38380ms)  |  script='ông'
163: whisper='tuổi' (38380-38690ms)  |  script='54'
164: whisper='còn' (38690-38840ms)  |  script='tuổi'
165: whisper='vợ' (38840-39040ms)  |  script='còn'
166: whisper='mở' (39040-39240ms)  |  script='vợ'
167: whisper='18,' (39240-39820ms)  |  script='mới'
168: whisper='chở' (39820-39960ms)  |  script='18'
169: whisper='chiều' (39960-40260ms)  |  script='trớ'
170: whisper='thay' (40260-40410ms)  |  script='trêu'
171: whisper='lại' (40410-40760ms)  |  script='thay'
172: whisper='là' (40760-40860ms)  |  script='lại'
173: whisper='cuộc' (40860-41020ms)  |  script='là'
174: whisper='khôn' (41020-41290ms)  |  script='cuộc'
175: whisper='nhân' (41290-41450ms)  |  script='hôn'
176: whisper='hạnh' (41450-41710ms)  |  script='nhân'
177: whisper='phúc' (41710-42050ms)  |  script='hạnh'
178: whisper='và' (42050-42090ms)  |  script='phúc'
179: whisper='bên' (42090-42220ms)  |  script='và'
180: whisper='lâu' (42220-42390ms)  |  script='bền'
181: whisper='nhất' (42390-42650ms)  |  script='lâu'
182: whisper='đời' (42650-42900ms)  |  script='nhất'
183: whisper='ông.' (42900-43320ms)  |  script='đời'
184: whisper='Chaplin' (43320-43670ms)  |  script='ông'
185: whisper='còn' (43670-43910ms)  |  script='Chaplin'
186: whisper='bị' (43910-44090ms)  |  script='còn'
187: whisper='FBI' (44090-44240ms)  |  script='bị'
188: whisper='theo' (44240-44450ms)  |  script='FBI'
189: whisper='dõi' (44450-44650ms)  |  script='theo'
190: whisper='nhiều' (44650-45010ms)  |  script='dõi'
191: whisper='năm' (45010-45220ms)  |  script='nhiều'
192: whisper='vì' (45220-45370ms)  |  script='năm'
193: whisper='nghi' (45370-45680ms)  |  script='vì'
194: whisper='ngờ' (45680-45830ms)  |  script='nghi'
195: whisper='liên' (45830-46080ms)  |  script='ngờ'
196: whisper='hệ' (46080-46280ms)  |  script='liên'
197: whisper='cộng' (46280-46590ms)  |  script='hệ'
198: whisper='sản.' (46590-47100ms)  |  script='cộng'
199: whisper='Năm' (47100-47280ms)  |  script='sản'
200: whisper='1952,' (47280-47950ms)  |  script='Năm'
201: whisper='chính' (47950-48240ms)  |  script='1952'
202: whisper='phủ' (48240-48660ms)  |  script='chính'
203: whisper='Mỹ' (48660-48680ms)  |  script='phủ'
204: whisper='thu' (48680-48800ms)  |  script='Mỹ'
205: whisper='hồi' (48800-49030ms)  |  script='thu'
206: whisper='giấy' (49030-49310ms)  |  script='hồi'
207: whisper='phép' (49310-49530ms)  |  script='giấy'
208: whisper='nhập' (49530-49820ms)  |  script='phép'
209: whisper='cảnh' (49820-50100ms)  |  script='nhập'
210: whisper='khi' (50100-50240ms)  |  script='cảnh'
211: whisper='ông' (50240-50480ms)  |  script='khi'
212: whisper='đang' (50480-50670ms)  |  script='ông'
213: whisper='trên' (50670-50920ms)  |  script='đang'
214: whisper='tàu' (50920-51080ms)  |  script='trên'
215: whisper='Sang' (51080-51290ms)  |  script='tàu'
216: whisper='Châu' (51290-51500ms)  |  script='sang'
217: whisper='Âu.' (51500-52020ms)  |  script='châu'
218: whisper='Vua' (52060-52190ms)  |  script='Âu'
219: whisper='hai' (52190-52290ms)  |  script='vua'
220: whisper='của' (52290-52530ms)  |  script='hài'
221: whisper='Hollywood' (52530-52970ms)  |  script='của'
222: whisper='bị' (52970-53310ms)  |  script='Hollywood'
223: whisper='chính' (53310-53480ms)  |  script='bị'
224: whisper='Hollywood' (53480-53890ms)  |  script='chính'
225: whisper='đã' (53890-54120ms)  |  script='Hollywood'
226: whisper='văn' (54120-54260ms)  |  script='đá'
227: whisper='không' (54260-54550ms)  |  script='văng'
228: whisper='thương' (54550-54930ms)  |  script='không'
229: whisper='tiết' (54930-55400ms)  |  script='thương'
230: whisper='từ' (55400-55430ms)  |  script='tiếc'
231: whisper='đứa' (55430-55670ms)  |  script='Từ'
232: whisper='trẻ' (55670-55900ms)  |  script='đứa'
233: whisper='đối' (55900-56180ms)  |  script='trẻ'
234: whisper='khác' (56180-56420ms)  |  script='đói'
235: whisper='ở' (56420-56560ms)  |  script='khát'
236: whisper='London' (56560-57120ms)  |  script='ở'
237: whisper='đến' (57120-57250ms)  |  script='London'
238: whisper='biểu' (57250-57470ms)  |  script='đến'
239: whisper='tượng' (57470-57760ms)  |  script='biểu'
240: whisper='địa' (57760-57980ms)  |  script='tượng'
241: whisper='ảnh' (57980-58160ms)  |  script='điện'
242: whisper='toàn' (58160-58370ms)  |  script='ảnh'
243: whisper='cầu.' (58370-58600ms)  |  script='toàn'
244: whisper='Rồi' (58600-58820ms)  |  script='cầu'
245: whisper='bị' (58820-59000ms)  |  script='rồi'
246: whisper='chính' (59000-59280ms)  |  script='bị'
247: whisper='nước' (59280-59610ms)  |  script='chính'
248: whisper='Mỹ' (59610-59780ms)  |  script='nước'
249: whisper='chục' (59780-60140ms)  |  script='Mỹ'
250: whisper='xuất,' (60140-60550ms)  |  script='trục'
251: whisper='cuộc' (60550-60690ms)  |  script='xuất'
252: whisper='đời' (60690-60950ms)  |  script='cuộc'
