  0: whisper='Nicola' (40-300ms)  |  script='Nikola'
  1: whisper='Tesla' (300-570ms)  |  script='Tesla'
  2: whisper='là' (570-690ms)  |  script='là'
  3: whisper='người' (690-1210ms)  |  script='người'
  4: whisper='phát' (1210-1360ms)  |  script='phát'
  5: whisper='minh' (1360-1560ms)  |  script='minh'
  6: whisper='ra' (1560-1660ms)  |  script='ra'
  7: whisper='dòng' (1660-1910ms)  |  script='dòng'
  8: whisper='địa' (1910-2310ms)  |  script='điện'
  9: whisper='suái' (2310-2460ms)  |  script='xoay'
 10: whisper='chiều,' (2460-3170ms)  |  script='chiều'
 11: whisper='thứ' (3170-3190ms)  |  script='thứ'
 12: whisper='đang' (3190-3400ms)  |  script='đang'
 13: whisper='thắp' (3400-3670ms)  |  script='thắp'
 14: whisper='sáng' (3670-3870ms)  |  script='sáng'
 15: whisper='ngôi' (3870-4090ms)  |  script='ngôi'
 16: whisper='nhà' (4090-4310ms)  |  script='nhà'
 17: whisper='bạn' (4310-4480ms)  |  script='bạn'
 18: whisper='ngay' (4480-4650ms)  |  script='ngay'
 19: whisper='lúc' (4650-4810ms)  |  script='lúc'
 20: whisper='này.' (4810-5160ms)  |  script='này'
 21: whisper='Nhưng' (5160-5460ms)  |  script='Nhưng'
 22: whisper='đời' (5460-5760ms)  |  script='đời'
 23: whisper='tư' (5760-5930ms)  |  script='tư'
 24: whisper='của' (5930-6160ms)  |  script='của'
 25: whisper='ông' (6160-6350ms)  |  script='ông'
 26: whisper='thì,' (6350-6640ms)  |  script='thì'
 27: whisper='kỳ' (6640-6880ms)  |  script='kỳ'
 28: whisper='là' (6880-6990ms)  |  script='lạ'
 29: whisper='hơn' (6990-7200ms)  |  script='hơn'
 30: whisper='bất' (7200-7440ms)  |  script='bất'
 31: whisper='kỳ' (7440-7640ms)  |  script='kỳ'
 32: whisper='phát' (7640-7890ms)  |  script='phát'
 33: whisper='minh' (7890-8090ms)  |  script='minh'
 34: whisper='nào,' (8090-8520ms)  |  script='nào'
 35: whisper='ông' (8520-8720ms)  |  script='ông'
 36: whisper='từng' (8720-9130ms)  |  script='từng'
 37: whisper='làm' (9130-9560ms)  |  script='làm'
 38: whisper='ra.' (9560-9600ms)  |  script='ra'
 39: whisper='Đầu' (9600-9880ms)  |  script='Đầu'
 40: whisper='tiên,' (9880-10430ms)  |  script='tiên'
 41: whisper='Tesla' (10430-10470ms)  |  script='Tesla'
 42: whisper='mắc' (10470-10710ms)  |  script='mắc'
 43: whisper='chứng' (10710-10980ms)  |  script='chứng'
 44: whisper='sợ' (10980-11160ms)  |  script='sợ'
 45: whisper='vì' (11160-11310ms)  |  script='vi'
 46: whisper='khoảng' (11310-11670ms)  |  script='khuẩn'
 47: whisper='nặng' (11670-12030ms)  |  script='nặng'
 48: whisper='đến' (12030-12220ms)  |  script='đến'
 49: whisper='mức' (12220-12450ms)  |  script='mức'
 50: whisper='ám' (12450-12580ms)  |  script='ám'
 51: whisper='ảnh.' (12580-13040ms)  |  script='ảnh'
 52: whisper='Ông' (13040-13240ms)  |  script='Ông'
 53: whisper='giữa' (13240-13440ms)  |  script='rửa'
 54: whisper='tay' (13440-13560ms)  |  script='tay'
 55: whisper='liên' (13560-13760ms)  |  script='liên'
 56: whisper='tục' (13760-14080ms)  |  script='tục'
 57: whisper='ở' (14080-14160ms)  |  script='ở'
 58: whisper='khách' (14160-14320ms)  |  script='khách'
 59: whisper='sạn' (14320-14520ms)  |  script='sạn'
 60: whisper='thì' (14520-14690ms)  |  script='thì'
 61: whisper='yêu' (14690-14840ms)  |  script='yêu'
 62: whisper='cầu' (14840-15050ms)  |  script='cầu'
 63: whisper='đúng' (15050-15280ms)  |  script='đúng'
 64: whisper='18' (15280-15580ms)  |  script='18'
 65: whisper='chức' (15580-15760ms)  |  script='chiếc'
 66: whisper='khăn' (15760-15960ms)  |  script='khăn'
 67: whisper='sạch' (15960-16200ms)  |  script='sạch'
 68: whisper='mỗi' (16200-16400ms)  |  script='mỗi'
 69: whisper='ngày' (16400-16780ms)  |  script='ngày'
 70: whisper='và' (16780-16790ms)  |  script='và'
 71: whisper='tuyệt' (16790-17150ms)  |  script='tuyệt'
 72: whisper='đối' (17150-17440ms)  |  script='đối'
 73: whisper='không' (17440-17750ms)  |  script='không'
 74: whisper='bao' (17750-17950ms)  |  script='bao'
 75: whisper='giờ' (17950-18160ms)  |  script='giờ'
 76: whisper='bắt' (18160-18560ms)  |  script='bắt'
 77: whisper='tay' (18560-18560ms)  |  script='tay'
 78: whisper='ai.' (18560-18880ms)  |  script='ai'
 79: whisper='Bạn' (18880-19080ms)  |  script='Bạn'
 80: whisper='nghĩ' (19080-19300ms)  |  script='nghĩ'
 81: whisper='đồng' (19300-19560ms)  |  script='đồng'
 82: whisper='nghiệp' (19560-19930ms)  |  script='nghiệp'
 83: whisper='bạn' (19930-20090ms)  |  script='bạn'
 84: whisper='khó' (20090-20240ms)  |  script='khó'
 85: whisper='tính,' (20240-20560ms)  |  script='tính'
 86: whisper='gặp' (20560-21040ms)  |  script='Gặp'
 87: whisper='Tesla' (21040-21460ms)  |  script='Tesla'
 88: whisper='đi,' (21460-22000ms)  |  script='đi'
 89: whisper='ông' (22000-22110ms)  |  script='Ông'
 90: whisper='còn' (22110-22340ms)  |  script='còn'
 91: whisper='cực' (22340-22520ms)  |  script='cực'
 92: whisper='kỳ' (22520-22690ms)  |  script='kỳ'
 93: whisper='ám' (22690-22820ms)  |  script='ám'
 94: whisper='ảnh' (22820-23050ms)  |  script='ảnh'
 95: whisper='với' (23050-23290ms)  |  script='với'
 96: whisper='con' (23290-23430ms)  |  script='con'
 97: whisper='số' (23430-23760ms)  |  script='số'
 98: whisper='3.' (23760-24000ms)  |  script='3'
 99: whisper='Mọi' (24000-24210ms)  |  script='Mọi'
100: whisper='thứ' (24210-24430ms)  |  script='thứ'
101: whisper='ông' (24430-24600ms)  |  script='ông'
102: whisper='làm' (24600-24770ms)  |  script='làm'
103: whisper='đều' (24770-25030ms)  |  script='đều'
104: whisper='phải' (25030-25280ms)  |  script='phải'
105: whisper='chia' (25280-25460ms)  |  script='chia'
106: whisper='hết' (25460-25670ms)  |  script='hết'
107: whisper='cho' (25670-26000ms)  |  script='cho'
108: whisper='3,' (26000-26140ms)  |  script='3'
109: whisper='đi' (26140-26230ms)  |  script='đi'
110: whisper='bộ' (26230-26460ms)  |  script='bộ'
111: whisper='quan' (26460-26630ms)  |  script='quanh'
112: whisper='tòa' (26630-26770ms)  |  script='tòa'
113: whisper='nhà' (26770-26960ms)  |  script='nhà'
114: whisper='đúng' (26960-27240ms)  |  script='đúng'
115: whisper='3' (27240-27380ms)  |  script='3'
116: whisper='vòng' (27380-27610ms)  |  script='vòng'
117: whisper='trước' (27610-27990ms)  |  script='trước'
118: whisper='khi' (27990-28400ms)  |  script='khi'
119: whisper='vào.' (28400-28400ms)  |  script='vào'
120: whisper='Ở' (28480-28570ms)  |  script='ở'
121: whisper='phòng' (28570-28760ms)  |  script='phòng'
122: whisper='khách' (28760-29000ms)  |  script='khách'
123: whisper='sạn' (29000-29240ms)  |  script='sạn'
124: whisper='phải' (29240-29450ms)  |  script='phải'
125: whisper='mang' (29450-29610ms)  |  script='mang'
126: whisper='số' (29610-29770ms)  |  script='số'
127: whisper='chia' (29770-29930ms)  |  script='chia'
128: whisper='hết' (29930-30140ms)  |  script='hết'
129: whisper='cho' (30140-30260ms)  |  script='cho'
130: whisper='3.' (30260-30600ms)  |  script='3'
131: whisper='Thậm' (30600-30850ms)  |  script='thậm'
132: whisper='chí' (30850-31010ms)  |  script='chí'
133: whisper='tính' (31010-31220ms)  |  script='tính'
134: whisper='lượng' (31220-31560ms)  |  script='lượng'
135: whisper='thức' (31560-31810ms)  |  script='thức'
136: whisper='ăn' (31810-31940ms)  |  script='ăn'
137: whisper='bằng' (31940-32200ms)  |  script='bằng'
138: whisper='thế' (32200-32460ms)  |  script='thể'
139: whisper='tích,' (32460-32710ms)  |  script='tích'
140: whisper='thay' (32710-32870ms)  |  script='thay'
141: whisper='vì' (32870-33000ms)  |  script='vì'
142: whisper='nhìn' (33000-33210ms)  |  script='nhìn'
143: whisper='hình' (33210-33420ms)  |  script='hình'
144: whisper='dạng' (33420-33670ms)  |  script='dạng'
145: whisper='món' (33670-33930ms)  |  script='món'
146: whisper='ăn' (33930-33980ms)  |  script='ăn'
147: whisper='vì' (33980-34100ms)  |  script='vì'
148: whisper='ông' (34100-34270ms)  |  script='ông'
149: whisper='ghét.' (34270-34760ms)  |  script='ghét'
150: whisper='Nhìn' (34760-35000ms)  |  script='nhìn'
151: whisper='thấy' (35000-35290ms)  |  script='thấy'
152: whisper='tóc' (35290-35480ms)  |  script='tóc'
153: whisper='hay' (35480-35630ms)  |  script='hay'
154: whisper='bụi' (35630-35860ms)  |  script='bụi'
155: whisper='trên' (35860-36100ms)  |  script='trên'
156: whisper='đồ' (36100-36560ms)  |  script='đồ'
157: whisper='ăn,' (36560-36690ms)  |  script='ăn'
158: whisper='và' (36690-36760ms)  |  script='Và'
159: whisper='đây' (36760-36960ms)  |  script='đây'
160: whisper='là' (36960-37080ms)  |  script='là'
161: whisper='chuyện' (37080-37400ms)  |  script='chuyện'
162: whisper='tình' (37400-37600ms)  |  script='tình'
163: whisper='duy' (37600-37720ms)  |  script='duy'
164: whisper='nhất' (37720-37960ms)  |  script='nhất'
165: whisper='mà' (37960-38120ms)  |  script='mà'
166: whisper='lịch' (38120-38350ms)  |  script='lịch'
167: whisper='sử' (38350-38480ms)  |  script='sử'
168: whisper='ghi' (38480-38610ms)  |  script='ghi'
169: whisper='lại' (38610-38790ms)  |  script='lại'
170: whisper='về' (38790-39220ms)  |  script='về'
171: whisper='ông.' (39220-39240ms)  |  script='ông'
172: whisper='Tesla' (39240-39460ms)  |  script='Tesla'
173: whisper='không' (39460-39730ms)  |  script='không'
174: whisper='hề' (39730-39930ms)  |  script='hề'
175: whisper='kết' (39930-40120ms)  |  script='kết'
176: whisper='hôn,' (40120-40380ms)  |  script='hôn'
177: whisper='không' (40380-40690ms)  |  script='không'
178: whisper='hề' (40690-40950ms)  |  script='hề'
179: whisper='có' (40950-41030ms)  |  script='có'
180: whisper='người' (41030-41330ms)  |  script='người'
181: whisper='yêu' (41330-41490ms)  |  script='yêu'
182: whisper='chính' (41490-41760ms)  |  script='chính'
183: whisper='thức,' (41760-42420ms)  |  script='thức'
184: whisper='nhưng' (42420-42480ms)  |  script='nhưng'
185: whisper='ông' (42480-42670ms)  |  script='ông'
186: whisper='có' (42670-42840ms)  |  script='có'
187: whisper='một' (42840-43060ms)  |  script='một'
188: whisper='mối' (43060-43280ms)  |  script='mối'
189: whisper='quan' (43280-43510ms)  |  script='quan'
190: whisper='hệ' (43510-43650ms)  |  script='hệ'
191: whisper='cực' (43650-43870ms)  |  script='cực'
192: whisper='kỳ' (43870-44040ms)  |  script='kỳ'
193: whisper='sâu' (44040-44240ms)  |  script='sâu'
194: whisper='đậm' (44240-44490ms)  |  script='đậm'
195: whisper='với.' (44490-45000ms)  |  script='với'
196: whisper='Một' (45000-45240ms)  |  script='một'
197: whisper='con' (45240-45430ms)  |  script='con'
198: whisper='bố' (45430-45570ms)  |  script='bồ'
199: whisper='câu' (45570-45750ms)  |  script='câu'
200: whisper='trắng,' (45750-46170ms)  |  script='trắng'
201: whisper='ông' (46170-46500ms)  |  script='Ông'
202: whisper='cho' (46500-46520ms)  |  script='cho'
203: whisper='nó' (46520-46640ms)  |  script='nó'
204: whisper='ăn' (46640-46780ms)  |  script='ăn'
205: whisper='mỗi' (46780-47020ms)  |  script='mỗi'
206: whisper='ngày,' (47020-47350ms)  |  script='ngày'
207: whisper='gọi' (47350-47710ms)  |  script='gọi'
208: whisper='nó' (47710-47730ms)  |  script='nó'
209: whisper='là' (47730-47870ms)  |  script='là'
210: whisper='tính' (47870-48110ms)  |  script='tình'
211: whisper='yêu' (48110-48300ms)  |  script='yêu'
212: whisper='của' (48300-48580ms)  |  script='của'
