  0: whisper='Bạn' (30-200ms)  |  script='Bạn'
  1: whisper='dọn' (200-400ms)  |  script='dọn'
  2: whisper='bạn' (400-610ms)  |  script='bàn'
  3: whisper='làm' (610-760ms)  |  script='làm'
  4: whisper='việc' (760-1010ms)  |  script='việc'
  5: whisper='sạch' (1010-1260ms)  |  script='sạch'
  6: whisper='bông,' (1260-1610ms)  |  script='bong'
  7: whisper='sắp' (1610-1830ms)  |  script='sắp'
  8: whisper='xếp' (1830-2120ms)  |  script='xếp'
  9: whisper='lại' (2120-2290ms)  |  script='lại'
 10: whisper='email' (2290-2530ms)  |  script='email'
 11: whisper='theo' (2530-2720ms)  |  script='theo'
 12: whisper='màu,' (2720-3080ms)  |  script='màu'
 13: whisper='trả' (3080-3330ms)  |  script='trả'
 14: whisper='lời' (3330-3580ms)  |  script='lời'
 15: whisper='20' (3580-3880ms)  |  script='20'
 16: whisper='tin' (3880-4030ms)  |  script='tin'
 17: whisper='nhắn' (4030-4360ms)  |  script='nhắn'
 18: whisper='không' (4360-4630ms)  |  script='không'
 19: whisper='quan' (4630-4930ms)  |  script='quan'
 20: whisper='trọng.' (4930-5240ms)  |  script='trọng'
 21: whisper='Tất' (5240-5430ms)  |  script='tất'
 22: whisper='cả' (5430-5610ms)  |  script='cả'
 23: whisper='trước' (5610-5900ms)  |  script='trước'
 24: whisper='khi' (5900-6040ms)  |  script='khi'
 25: whisper='động' (6040-6290ms)  |  script='động'
 26: whisper='vào' (6290-6450ms)  |  script='vào'
 27: whisper='cái' (6450-6610ms)  |  script='cái'
 28: whisper='báo' (6610-6790ms)  |  script='báo'
 29: whisper='cáo' (6790-6910ms)  |  script='cáo'
 30: whisper='quan' (6910-7070ms)  |  script='quan'
 31: whisper='trọng' (7070-7480ms)  |  script='trọng'
 32: whisper='đang' (7480-7620ms)  |  script='đang'
 33: whisper='chào' (7620-7840ms)  |  script='treo'
 34: whisper='lời' (7840-8060ms)  |  script='lơ'
 35: whisper='lừng' (8060-8320ms)  |  script='lửng'
 36: whisper='từ' (8320-8500ms)  |  script='từ'
 37: whisper='3' (8500-8630ms)  |  script='3'
 38: whisper='ngày' (8630-8850ms)  |  script='ngày'
 39: whisper='trước.' (8850-9340ms)  |  script='trước'
 40: whisper='Chúc' (9340-9560ms)  |  script='Chúc'
 41: whisper='mừng,' (9560-10150ms)  |  script='mừng'
 42: whisper='bạn' (10150-10190ms)  |  script='bạn'
 43: whisper='vừa' (10190-10370ms)  |  script='vừa'
 44: whisper='mắt' (10370-10590ms)  |  script='mắc'
 45: whisper='hội' (10590-10810ms)  |  script='hội'
 46: whisper='chứng' (10810-11130ms)  |  script='chứng'
 47: whisper='giả' (11130-11390ms)  |  script='giả'
 48: whisper='vừa' (11390-11610ms)  |  script='vờ'
 49: whisper='bệnh' (11610-11870ms)  |  script='bận'
