  0: whisper='Isaac' (40-310ms)  |  script='Isaac'
  1: whisper='Newton' (310-590ms)  |  script='Newton'
  2: whisper='ngồi' (590-870ms)  |  script='ngồi'
  3: whisper='dưới' (870-1210ms)  |  script='dưới'
  4: whisper='gốc' (1210-1420ms)  |  script='gốc'
  5: whisper='táo,' (1420-1950ms)  |  script='táo'
  6: whisper='một' (1950-1990ms)  |  script='một'
  7: whisper='quả' (1990-2210ms)  |  script='quả'
  8: whisper='táo' (2210-2380ms)  |  script='táo'
  9: whisper='dưới' (2380-2710ms)  |  script='rơi'
 10: whisper='chúng' (2710-2960ms)  |  script='trúng'
 11: whisper='đầu' (2960-3430ms)  |  script='đầu'
 12: whisper='và' (3430-3480ms)  |  script='và'
 13: whisper='ông' (3480-3630ms)  |  script='ông'
 14: whisper='Phát' (3630-3890ms)  |  script='phát'
 15: whisper='Minh' (3890-4080ms)  |  script='minh'
 16: whisper='ra' (4080-4180ms)  |  script='ra'
 17: whisper='lực' (4180-4440ms)  |  script='lực'
 18: whisper='khắp' (4440-4730ms)  |  script='hấp'
 19: whisper='dẫn.' (4730-5060ms)  |  script='dẫn'
 20: whisper='Câu' (5060-5350ms)  |  script='Câu'
 21: whisper='chuyện' (5350-5690ms)  |  script='chuyện'
 22: whisper='hay' (5690-5850ms)  |  script='hay'
 23: whisper='đấy,' (5850-6330ms)  |  script='đấy'
 24: whisper='chỉ' (6330-6540ms)  |  script='chỉ'
 25: whisper='có' (6540-6700ms)  |  script='có'
 26: whisper='điều,' (6700-7290ms)  |  script='điều'
 27: whisper='nó' (7290-7390ms)  |  script='nó'
 28: whisper='hơi' (7390-7590ms)  |  script='hơi'
 29: whisper='bị' (7590-7790ms)  |  script='bị'
 30: whisper='chế' (7790-8040ms)  |  script='chế'
 31: whisper='thêm' (8040-8290ms)  |  script='thêm'
 32: whisper='gia' (8290-8680ms)  |  script='gia'
 33: whisper='vị.' (8680-8700ms)  |  script='vị'
 34: whisper='Sự' (8700-8940ms)  |  script='Sự'
 35: whisper='thật' (8940-9300ms)  |  script='thật'
 36: whisper='là' (9300-9480ms)  |  script='là'
 37: whisper='Newton,' (9480-10200ms)  |  script='Newton'
 38: whisper='chỉ' (10200-10260ms)  |  script='chỉ'
 39: whisper='nhìn' (10260-10500ms)  |  script='nhìn'
 40: whisper='thấy' (10500-10800ms)  |  script='thấy'
 41: whisper='một' (10800-11080ms)  |  script='một'
 42: whisper='quả' (11080-11300ms)  |  script='quả'
 43: whisper='táo' (11300-11500ms)  |  script='táo'
 44: whisper='dưới' (11500-11840ms)  |  script='rơi'
 45: whisper='từ' (11840-12100ms)  |  script='từ'
 46: whisper='xa' (12100-12230ms)  |  script='xa'
 47: whisper='không' (12230-12410ms)  |  script='không'
 48: whisper='hề' (12410-12570ms)  |  script='hề'
 49: whisper='bị' (12570-12730ms)  |  script='bị'
 50: whisper='đánh' (12730-12970ms)  |  script='đánh'
 51: whisper='chúng' (12970-13220ms)  |  script='trúng'
