  0: 30-200 Bạn
  1: 200-400  dọn
  2: 400-610  bạn
  3: 610-760  làm
  4: 760-1010  việc
  5: 1010-1260  sạch
  6: 1260-1610  bông,
  7: 1610-1830  sắp
  8: 1830-2120  xếp
  9: 2120-2290  lại
 10: 2290-2530  email
 11: 2530-2720  theo
 12: 2720-3080  màu,
 13: 3080-3330  trả
 14: 3330-3580  lời
 15: 3580-3880  20
 16: 3880-4030  tin
 17: 4030-4360  nhắn
 18: 4360-4630  không
 19: 4630-4930  quan
 20: 4930-5240  trọng.
 21: 5240-5430  Tất
 22: 5430-5610  cả
 23: 5610-5900  trước
 24: 5900-6040  khi
 25: 6040-6290  động
 26: 6290-6450  vào
 27: 6450-6610  cái
 28: 6610-6790  báo
 29: 6790-6910  cáo
 30: 6910-7070  quan
 31: 7070-7480  trọng
 32: 7480-7620  đang
 33: 7620-7840  chào
 34: 7840-8060  lời
 35: 8060-8320  lừng
 36: 8320-8500  từ
 37: 8500-8630  3
 38: 8630-8850  ngày
 39: 8850-9340  trước.
 40: 9340-9560  Chúc
 41: 9560-10150  mừng,
 42: 10150-10190  bạn
 43: 10190-10370  vừa
 44: 10370-10590  mắt
 45: 10590-10810  hội
 46: 10810-11130  chứng
 47: 11130-11390  giả
 48: 11390-11610  vừa
 49: 11610-11870  bệnh
 50: 11870-12160  dộ,
 51: 12160-12360  đây
 52: 12360-12480  là
 53: 12480-12680  cách
 54: 12680-12800  nó
 55: 12800-13070  hoạt
 56: 13070-13420  động,
 57: 13420-13590  nảo
 58: 13590-13800  bạn
 59: 13800-14000  cực
 60: 14000-14160  kỳ
 61: 14160-14410  giỏi
 62: 14410-14610  phân
 63: 14610-14860  biệt
 64: 14860-15100  bệnh
 65: 15100-15220  và
 66: 15220-15470  hiệu
 67: 15470-15900  quả.
 68: 15900-16130  Chỉ
 69: 16130-16270  có
 70: 16270-16600  điều
 71: 16600-16740  nó
 72: 16740-16920  cố
 73: 16920-17150  tình
 74: 17150-17330  lở
 75: 17330-17470  đi
 76: 17470-17660  sự
 77: 17660-17900  khác
 78: 17900-18460  biệt
 79: 18460-18460  đó,
 80: 18460-18610  vì
 81: 18610-18790  cảm
 82: 18790-18990  giác
 83: 18990-19190  hoàn
 84: 19190-19440  thành
 85: 19440-19690  việc
 86: 19690-19900  nhỏ
 87: 19900-20220  sướng
 88: 20220-20380  hơn
 89: 20380-20760  nhiều,
 90: 20760-20850  so
 91: 20850-21050  với
 92: 21050-21290  đối
 93: 21290-21510  mặt
 94: 21510-21740  việc
 95: 21740-21940  lớn
 96: 21940-22180  đáng
 97: 22180-22540  sợ.
 98: 22540-22790  Dọn
 99: 22790-23050  bạn
100: 23050-23540  sông,
101: 23540-23570  bạn
102: 23570-23710  có
103: 23710-23950  cảm
104: 23950-24180  giác
105: 24180-24400  "Ah,
106: 24400-24680  mình
107: 24680-24870  vừa
108: 24870-25060  làm
109: 25060-25440  được
110: 25440-25580  gì
111: 25580-26000  đó",
112: 26040-26240  nảo
113: 26240-26500  tiết
114: 26500-26580  ra
115: 26580-26810  một
116: 26810-27040  chút
117: 27040-27590  dopamine,
118: 27590-27630  ý
119: 27630-27870  hệt
120: 27870-27990  như
121: 27990-28210  vừa
122: 28210-28440  hoàn
123: 28440-28740  thành
124: 28740-29000  việc
125: 29000-29270  thật
126: 29270-29680  sự,
127: 29680-29940  vấn
128: 29940-30200  đề
129: 30200-30360  là
130: 30360-30570  báo
131: 30570-30780  cáo
132: 30780-30940  kia
133: 30940-31140  thì
134: 31140-31400  vẫn
135: 31400-31610  làm
136: 31610-32100  email.
137: 32100-32240  Con
138: 32240-32630  deadline
139: 32630-32820  thì
140: 32820-33060  đang
141: 33060-33290  xích
142: 33290-33530  lại
143: 33530-33760  gần
144: 33760-33950  hơn
145: 33950-34320  từng
146: 34320-34540  phút,
147: 34540-34760  đây
148: 34760-34980  mới
149: 34980-35110  là
150: 35110-35380  phần
151: 35380-35640  buồn
152: 35640-36080  cười,
153: 36080-36290  càng
154: 36290-36580  nhiều
155: 36580-36830  việc
156: 36830-37030  nhỏ
157: 37030-37230  giả
158: 37230-37440  vừa
159: 37440-37720  bệnh
160: 37720-37980  dộn.
161: 37980-38210  Bạn
162: 38210-38400  càng
163: 38400-38520  có
164: 38520-38640  lý
165: 38640-38720  do
166: 38720-39010  chiến
167: 39010-39260  đáng
168: 39260-39470  để
169: 39470-39640  nói
170: 39640-39800  hôm
171: 39800-39920  nay
172: 39920-40120  mình
173: 40120-40370  bệnh
174: 40370-40760  lắm,
175: 40760-40970  mà
176: 40970-41390  không
177: 41390-41720  ai,
178: 41720-41840  kể
179: 41840-42000  cả
180: 42000-42240  chính
181: 42240-42520  bạn
182: 42520-42680  chất
183: 42680-42880  vấn
184: 42880-43200  được
185: 43200-43480  điều
186: 43480-43740  đó,
187: 43740-44040  bệnh
188: 44040-44290  dộn
189: 44290-44540  giả
190: 44540-44790  vừa
191: 44790-44940  là
192: 44940-45190  vỏ
193: 45190-45390  bọc
194: 45390-45690  hoàn
195: 45690-45960  hảo,
196: 45960-46090  vì
197: 46090-46310  nhìn
198: 46310-46490  từ
199: 46490-46750  ngoài
200: 46750-46970  nó
201: 46970-47190  giống
202: 47190-47410  hệt
203: 47410-47670  bệnh
204: 47670-47880  dộn
205: 47880-48400  thật.
206: 48400-48630  Cách
207: 48630-48890  nhận
208: 48890-49290  diện,
209: 49290-49450  nếu
210: 49450-49660  việc
211: 49660-49830  bạn
212: 49830-50000  đang
213: 50000-50140  làm
214: 50140-50240  có
215: 50240-50410  thể
216: 50410-50540  bị
217: 50540-50780  hoạn
218: 50780-50860  vô
219: 50860-51070  thời
220: 51070-51400  hạn
221: 51400-51480  mà
222: 51480-51930  chẳng
223: 51930-52200  iPad
224: 52200-52600  vì
225: 52600-52780  nó,
226: 52860-53030  kiểu
227: 53030-53240  sắp
228: 53240-53450  xếp
229: 53450-53670  lại
230: 53670-53980  thứ
231: 53980-54110  một
232: 54110-54270  phai
233: 54270-54480  lần
234: 54480-54700  thứ
235: 54700-54830  5
236: 54830-55050  trong
237: 55050-55640  tháng,
238: 55640-55670  thì
239: 55670-55880  khả
240: 55880-56110  năng
241: 56110-56210  cao
242: 56210-56380  đó
243: 56380-56640  không
244: 56640-56940  phải
245: 56940-57120  công
246: 57120-57540  việc,
247: 57540-57720  đó
248: 57720-57850  là
249: 57850-58150  chuẩn
250: 58150-58460  việc
251: 58460-58670  mặc
252: 58670-58770  áo
253: 58770-59040  giáp
254: 59040-59220  công
255: 59220-59580  việc.
256: 59580-59850  Cách
