  0: whisper='Caligula' (50-420ms)  |  script='Caligula'
  1: whisper='lên' (420-630ms)  |  script='lên'
  2: whisper='ngôi' (630-890ms)  |  script='ngôi'
  3: whisper='hoàng' (890-1200ms)  |  script='Hoàng'
  4: whisper='để' (1200-1470ms)  |  script='đế'
  5: whisper='lá' (1470-1620ms)  |  script='La'
  6: whisper='mãa' (1620-1830ms)  |  script='Mã'
  7: whisper='ở' (1830-1990ms)  |  script='ở'
  8: whisper='tuổi' (1990-2300ms)  |  script='tuổi'
  9: whisper='24' (2300-2870ms)  |  script='24'
 10: whisper='và' (2870-2900ms)  |  script='và'
 11: whisper='trong' (2900-3120ms)  |  script='trong'
 12: whisper='vài' (3120-3320ms)  |  script='vài'
 13: whisper='tháng' (3320-3620ms)  |  script='tháng'
 14: whisper='đầu' (3620-3990ms)  |  script='đầu'
 15: whisper='dân' (3990-4140ms)  |  script='dân'
 16: whisper='chúng' (4140-4470ms)  |  script='chúng'
 17: whisper='thực' (4470-4770ms)  |  script='thực'
 18: whisper='sự' (4770-4980ms)  |  script='sự'
 19: whisper='yêu' (4980-5130ms)  |  script='yêu'
 20: whisper='quỷ' (5130-5600ms)  |  script='quý'
 21: whisper='ông' (5600-5600ms)  |  script='ông'
 22: whisper='cho' (5600-5710ms)  |  script='cho'
 23: whisper='đến' (5710-5930ms)  |  script='đến'
 24: whisper='khi' (5930-6040ms)  |  script='khi'
 25: whisper='mọi' (6040-6220ms)  |  script='mọi'
 26: whisper='thứ' (6220-6420ms)  |  script='thứ'
 27: whisper='đi' (6420-6520ms)  |  script='đi'
 28: whisper='trạch' (6520-6770ms)  |  script='chệch'
 29: whisper='hướng' (6770-7060ms)  |  script='hướng'
 30: whisper='theo' (7060-7210ms)  |  script='theo'
 31: whisper='cách' (7210-7450ms)  |  script='cách'
 32: whisper='không' (7450-7620ms)  |  script='không'
 33: whisper='ai' (7620-7690ms)  |  script='ai'
 34: whisper='đoán' (7690-7910ms)  |  script='đoán'
 35: whisper='chức' (7910-8120ms)  |  script='trước'
 36: whisper='được.' (8120-8540ms)  |  script='được'
 37: whisper='Chước' (8540-9260ms)  |  script='Trước'
 38: whisper='hết,' (9260-9380ms)  |  script='hết'
 39: whisper='cái' (9380-9540ms)  |  script='cái'
 40: whisper='tên' (9540-9730ms)  |  script='tên'
 41: whisper='Caligula' (9730-10100ms)  |  script='Caligula'
 42: whisper='thực' (10100-10390ms)  |  script='thực'
 43: whisper='ra' (10390-10530ms)  |  script='ra'
 44: whisper='không' (10530-10770ms)  |  script='không'
 45: whisper='phải' (10770-11090ms)  |  script='phải'
 46: whisper='tên' (11090-11250ms)  |  script='tên'
 47: whisper='thật' (11250-11570ms)  |  script='thật'
 48: whisper='của' (11570-11770ms)  |  script='của'
 49: whisper='ông' (11770-12100ms)  |  script='ông'
 50: whisper='đó' (12100-12260ms)  |  script='Đó'
 51: whisper='là' (12260-12380ms)  |  script='là'
 52: whisper='biệt' (12380-12660ms)  |  script='biệt'
 53: whisper='dành' (12660-12820ms)  |  script='danh'
 54: whisper='nghĩa' (12820-13060ms)  |  script='nghĩa'
 55: whisper='là' (13060-13180ms)  |  script='là'
 56: whisper='đối' (13180-13450ms)  |  script='đôi'
 57: whisper='bốt' (13450-13610ms)  |  script='bốt'
 58: whisper='nhỏ,' (13610-13920ms)  |  script='nhỏ'
 59: whisper='do' (13920-14020ms)  |  script='do'
 60: whisper='bình' (14020-14280ms)  |  script='binh'
 61: whisper='lính' (14280-14540ms)  |  script='lính'
 62: whisper='đặt' (14540-14860ms)  |  script='đặt'
 63: whisper='cho' (14860-15010ms)  |  script='cho'
 64: whisper='ông' (15010-15220ms)  |  script='ông'
 65: whisper='từ' (15220-15430ms)  |  script='từ'
 66: whisper='khi' (15430-15590ms)  |  script='khi'
 67: whisper='còn' (15590-16000ms)  |  script='còn'
 68: whisper='bé.' (16000-16040ms)  |  script='bé'
 69: whisper='Vì' (16040-16160ms)  |  script='vì'
 70: whisper='ông' (16160-16330ms)  |  script='ông'
 71: whisper='hay' (16330-16460ms)  |  script='hay'
 72: whisper='mặc' (16460-16670ms)  |  script='mặc'
 73: whisper='một' (16670-16880ms)  |  script='một'
 74: whisper='bộ' (16880-17060ms)  |  script='bộ'
 75: whisper='đồng' (17060-17390ms)  |  script='đồng'
 76: whisper='phục' (17390-17590ms)  |  script='phục'
 77: whisper='lính' (17590-17800ms)  |  script='lính'
 78: whisper='thu' (17800-18010ms)  |  script='thu'
 79: whisper='nhỏ,' (18010-18260ms)  |  script='nhỏ'
 80: whisper='kèm' (18260-18470ms)  |  script='kèm'
 81: whisper='đối' (18470-18840ms)  |  script='đôi'
 82: whisper='bốt' (18840-19070ms)  |  script='bốt'
 83: whisper='tí' (19070-19440ms)  |  script='tí'
 84: whisper='hon,' (19440-19520ms)  |  script='hon'
 85: whisper='đi' (19520-19650ms)  |  script='đi'
 86: whisper='loanh' (19650-19910ms)  |  script='loanh'
 87: whisper='quanh' (19910-20070ms)  |  script='quanh'
 88: whisper='doanh' (20070-20280ms)  |  script='doanh'
 89: whisper='trại' (20280-20530ms)  |  script='trại'
 90: whisper='của' (20530-20750ms)  |  script='của'
 91: whisper='tra' (20750-20880ms)  |  script='cha'
 92: whisper='mình' (20880-21160ms)  |  script='mình'
 93: whisper='vì' (21160-21290ms)  |  script='Vị'
 94: whisper='hoàng' (21290-21540ms)  |  script='hoàng'
 95: whisper='đế' (21540-21750ms)  |  script='đế'
 96: whisper='khét' (21750-22000ms)  |  script='khét'
 97: whisper='tính' (22000-22170ms)  |  script='tiếng'
 98: whisper='tàn' (22170-22340ms)  |  script='tàn'
 99: whisper='bạo' (22340-22550ms)  |  script='bạo'
100: whisper='bất' (22550-22810ms)  |  script='bậc'
101: whisper='nhất' (22810-23020ms)  |  script='nhất'
102: whisper='lịch' (23020-23320ms)  |  script='lịch'
103: whisper='sử,' (23320-23560ms)  |  script='sử'
104: whisper='hoa' (23560-23690ms)  |  script='hóa'
105: whisper='ra' (23690-23780ms)  |  script='ra'
106: whisper='lại' (23780-24010ms)  |  script='lại'
107: whisper='có' (24010-24150ms)  |  script='có'
108: whisper='biệt' (24150-24460ms)  |  script='biệt'
109: whisper='dành' (24460-24640ms)  |  script='danh'
110: whisper='đáng' (24640-24910ms)  |  script='đáng'
111: whisper='yêu' (24910-25090ms)  |  script='yêu'
112: whisper='như' (25090-25270ms)  |  script='như'
113: whisper='một' (25270-25500ms)  |  script='một'
114: whisper='đứa' (25500-25850ms)  |  script='đứa'
115: whisper='trẻ.' (25850-26080ms)  |  script='trẻ'
116: whisper='Chuyện' (26170-26450ms)  |  script='Chuyện'
117: whisper='nổi' (26450-26680ms)  |  script='nổi'
118: whisper='tiếng' (26680-27010ms)  |  script='tiếng'
119: whisper='nhất' (27010-27300ms)  |  script='nhất'
120: whisper='về' (27300-27490ms)  |  script='về'
121: whisper='Caligula' (27490-28000ms)  |  script='Caligula'
122: whisper='là' (28000-28140ms)  |  script='là'
123: whisper='ông' (28140-28190ms)  |  script='ông'
124: whisper='định' (28190-28520ms)  |  script='định'
125: whisper='phong' (28520-28750ms)  |  script='phong'
126: whisper='con' (28750-28890ms)  |  script='con'
127: whisper='ngựa' (28890-29190ms)  |  script='ngựa'
128: whisper='cưng' (29190-29390ms)  |  script='cưng'
129: whisper='của' (29390-29630ms)  |  script='của'
130: whisper='mình.' (29630-30020ms)  |  script='mình'
131: whisper='Tên' (30020-30260ms)  |  script='tên'
132: whisper='là' (30260-30470ms)  |  script='là'
133: whisper='incitatus,' (30470-31080ms)  |  script='Incitatus'
134: whisper='làm' (31080-31580ms)  |  script='làm'
135: whisper='quan' (31580-31630ms)  |  script='quan'
136: whisper='chấp' (31630-32000ms)  |  script='chấp'
137: whisper='chính.' (32000-32620ms)  |  script='chính'
138: whisper='Chức' (32620-32870ms)  |  script='chức'
139: whisper='vụ' (32870-33030ms)  |  script='vụ'
140: whisper='chính' (33030-33280ms)  |  script='chính'
141: whisper='trị' (33280-33500ms)  |  script='trị'
142: whisper='cao' (33500-33600ms)  |  script='cao'
143: whisper='cấp' (33600-33810ms)  |  script='cấp'
144: whisper='bất' (33810-34020ms)  |  script='bậc'
145: whisper='nhất' (34020-34270ms)  |  script='nhất'
146: whisper='lá' (34270-34390ms)  |  script='La'
147: whisper='mãa,' (34390-34740ms)  |  script='Mã'
148: whisper='con' (34740-34890ms)  |  script='Con'
149: whisper='ngựa' (34890-35040ms)  |  script='ngựa'
150: whisper='này' (35040-35180ms)  |  script='này'
151: whisper='được' (35180-35460ms)  |  script='được'
152: whisper='cho' (35460-35560ms)  |  script='cho'
153: whisper='ở' (35560-35700ms)  |  script='ở'
154: whisper='trong' (35700-35830ms)  |  script='trong'
155: whisper='một' (35830-36000ms)  |  script='một'
156: whisper='trường' (36000-36310ms)  |  script='chuồng'
157: whisper='ngựa' (36310-36510ms)  |  script='ngựa'
158: whisper='bằng' (36510-36710ms)  |  script='bằng'
159: whisper='đá' (36710-36860ms)  |  script='đá'
160: whisper='cầm' (36860-37020ms)  |  script='cẩm'
161: whisper='thạch,' (37020-37340ms)  |  script='thạch'
