  0: whisper='Napoleon' (40-450ms)  |  script='Napoleon'
  1: whisper='Bonaparte' (450-1010ms)  |  script='Bonaparte'
  2: whisper='là' (1010-1130ms)  |  script='là'
  3: whisper='vị' (1130-1470ms)  |  script='vị'
  4: whisper='hoang' (1470-1650ms)  |  script='hoàng'
  5: whisper='đế' (1650-1920ms)  |  script='đế'
  6: whisper='người' (1920-2390ms)  |  script='người'
  7: whisper='pháp' (2390-2770ms)  |  script='Pháp'
  8: whisper='đã' (2770-2910ms)  |  script='đã'
  9: whisper='làm' (2910-3080ms)  |  script='làm'
 10: whisper='dung' (3080-3270ms)  |  script='rung'
 11: whisper='chuyển' (3270-3620ms)  |  script='chuyển'
 12: whisper='cả' (3620-3780ms)  |  script='cả'
 13: whisper='châu' (3780-4010ms)  |  script='châu'
 14: whisper='Âu,' (4010-4260ms)  |  script='Âu'
 15: whisper='người' (4260-4470ms)  |  script='người'
 16: whisper='viết' (4470-4660ms)  |  script='viết'
 17: whisper='lại' (4660-4820ms)  |  script='lại'
 18: whisper='bản' (4820-4980ms)  |  script='bản'
 19: whisper='đồ' (4980-5170ms)  |  script='đồ'
 20: whisper='lục' (5170-5300ms)  |  script='lục'
 21: whisper='địa' (5300-5690ms)  |  script='địa'
 22: whisper='và' (5690-5710ms)  |  script='và'
 23: whisper='để' (5710-5910ms)  |  script='để'
 24: whisper='lại' (5910-6130ms)  |  script='lại'
 25: whisper='bộ' (6130-6300ms)  |  script='Bộ'
 26: whisper='lột' (6300-6520ms)  |  script='luật'
 27: whisper='dân' (6520-6680ms)  |  script='Dân'
 28: whisper='sự' (6680-7000ms)  |  script='sự'
 29: whisper='vẫn' (7000-7120ms)  |  script='vẫn'
 30: whisper='còn' (7120-7260ms)  |  script='còn'
 31: whisper='ảnh' (7260-7430ms)  |  script='ảnh'
 32: whisper='hưởng' (7430-7710ms)  |  script='hưởng'
 33: whisper='đến' (7710-7920ms)  |  script='đến'
 34: whisper='nhiều' (7920-8170ms)  |  script='nhiều'
 35: whisper='quốc' (8170-8380ms)  |  script='quốc'
 36: whisper='gia' (8380-8470ms)  |  script='gia'
 37: whisper='ngày' (8470-8660ms)  |  script='ngày'
 38: whisper='nay,' (8660-9030ms)  |  script='nay'
 39: whisper='nhưng' (9030-9120ms)  |  script='Nhưng'
 40: whisper='thứ' (9120-9320ms)  |  script='thứ'
 41: whisper='đi' (9320-9440ms)  |  script='đi'
 42: whisper='theo' (9440-9600ms)  |  script='theo'
 43: whisper='ông' (9600-9760ms)  |  script='ông'
 44: whisper='xuất' (9760-9990ms)  |  script='suốt'
 45: whisper='hơn' (9990-10150ms)  |  script='hơn'
 46: whisper='200' (10150-10500ms)  |  script='200'
 47: whisper='năm' (10500-10660ms)  |  script='năm'
 48: whisper='lại' (10660-10980ms)  |  script='lại'
 49: whisper='không' (10980-11090ms)  |  script='không'
 50: whisper='phải' (11090-11320ms)  |  script='phải'
 51: whisper='chiến' (11320-11590ms)  |  script='chiến'
 52: whisper='công' (11590-11790ms)  |  script='công'
 53: whisper='hay' (11790-11910ms)  |  script='hay'
 54: whisper='quyền' (11910-12180ms)  |  script='quyền'
 55: whisper='lực,' (12180-12680ms)  |  script='lực'
 56: whisper='mà' (12680-13360ms)  |  script='mà'
 57: whisper='là...' (13360-13400ms)  |  script='là'
 58: whisper='Chiều' (13400-14090ms)  |  script='chiều'
 59: whisper='cao,' (14090-14570ms)  |  script='cao'
 60: whisper='cả' (14570-14730ms)  |  script='Cả'
 61: whisper='thế' (14730-14950ms)  |  script='thế'
 62: whisper='giới' (14950-15250ms)  |  script='giới'
 63: whisper='đều' (15250-15550ms)  |  script='đều'
 64: whisper='tin' (15550-15700ms)  |  script='tin'
 65: whisper='Napoleon' (15700-16110ms)  |  script='Napoleon'
 66: whisper='là' (16110-16250ms)  |  script='là'
 67: whisper='một' (16250-16500ms)  |  script='một'
 68: whisper='ông' (16500-16700ms)  |  script='ông'
 69: whisper='vua' (16700-16850ms)  |  script='vua'
 70: whisper='lùn' (16850-17050ms)  |  script='lùn'
 71: whisper='tì,' (17050-17600ms)  |  script='tì'
 72: whisper='nhưng' (17600-17650ms)  |  script='nhưng'
 73: whisper='đó' (17650-17800ms)  |  script='đó'
 74: whisper='là' (17800-17950ms)  |  script='là'
 75: whisper='một' (17950-18230ms)  |  script='một'
 76: whisper='hiểu' (18230-18500ms)  |  script='hiểu'
 77: whisper='lầm' (18500-18750ms)  |  script='lầm'
 78: whisper='không' (18750-19100ms)  |  script='khổng'
 79: whisper='lồ.' (19100-19400ms)  |  script='lồ'
 80: whisper='Khi' (19400-19720ms)  |  script='Khi'
 81: whisper='ông' (19720-19820ms)  |  script='ông'
 82: whisper='qua' (19820-20000ms)  |  script='qua'
 83: whisper='đời' (20000-20560ms)  |  script='đời'
 84: whisper='người' (20560-20850ms)  |  script='người'
 85: whisper='ta' (20850-20970ms)  |  script='ta'
 86: whisper='ghi' (20970-21210ms)  |  script='ghi'
 87: whisper='chiều' (21210-21570ms)  |  script='chiều'
 88: whisper='cao' (21570-22000ms)  |  script='cao'
 89: whisper='của' (22000-22050ms)  |  script='của'
 90: whisper='ông' (22050-22290ms)  |  script='ông'
 91: whisper='là' (22290-22470ms)  |  script='là'
 92: whisper='Namps' (22470-22940ms)  |  script='5'
 93: whisper='Hai' (22940-22950ms)  |  script='pieds'
 94: whisper='Pusay' (22950-23260ms)  |  script='2'
 95: whisper='nghe' (23260-23730ms)  |  script='pouces'
 96: whisper='thì' (23730-23810ms)  |  script='Nghe'
 97: whisper='giống' (23810-24150ms)  |  script='thì'
 98: whisper='như' (24150-24390ms)  |  script='giống'
 99: whisper='một' (24390-24690ms)  |  script='như'
100: whisper='mết' (24690-24990ms)  |  script='1'
101: whisper='57,' (24990-25620ms)  |  script='mét'
102: whisper='nhưng' (25620-25880ms)  |  script='57'
103: whisper='đó' (25880-26080ms)  |  script='nhưng'
104: whisper='là' (26080-26230ms)  |  script='đó'
105: whisper='đơn' (26230-26480ms)  |  script='là'
