Total tokens: 463
[  0]   0.04s -   0.16s: ─Éi
[  1]   0.16s -   0.41s: l├¬n
[  2]   0.41s -   0.80s: field
[  3]   0.80s -   0.83s: l├á
[  4]   0.83s -   1.05s: nh├á
[  5]   1.05s -   1.31s: sß║╡n
[  6]   1.31s -   1.59s: lß║¡p
[  7]   1.59s -   1.80s: v├¡t
[  8]   1.80s -   2.19s: ma,
[  9]   2.19s -   2.27s: c├┤ng
[ 10]   2.27s -   2.42s: cß╗Ñ
[ 11]   2.42s -   2.69s: thiß║┐t
[ 12]   2.69s -   2.84s: kß║┐
[ 13]   2.84s -   2.99s: d├áo
[ 14]   2.99s -   3.30s: diß╗çn
[ 15]   3.30s -   3.39s: m├á
[ 16]   3.39s -   3.55s: hß║│n
[ 17]   3.55s -   3.81s: chß╗ïu
[ 18]   3.81s -   4.14s: designer
[ 19]   4.14s -   4.35s: tr├¬n
[ 20]   4.35s -   4.56s: thß║┐
[ 21]   4.56s -   4.81s: giß╗¢i
[ 22]   4.81s -   5.02s: d├╣ng
[ 23]   5.02s -   5.23s: mß╗ùi
[ 24]   5.23s -   5.64s: ng├áy.
[ 25]   5.64s -   5.97s: Nh╞░ng
[ 26]   5.97s -   6.13s: ├¡t
[ 27]   6.13s -   6.24s: ai
[ 28]   6.24s -   6.58s: biß║┐t
[ 29]   6.58s -   6.96s: rß║▒ng
[ 30]   6.96s -   7.10s: ├┤ng
[ 31]   7.10s -   7.27s: bß║»t
[ 32]   7.27s -   7.48s: ─æß║ºu
[ 33]   7.48s -   7.73s: bß║▒ng
[ 34]   7.73s -   7.88s: mß╗Öt
[ 35]   7.88s -   7.92s: ├╜
[ 36]   7.92s -   8.34s: t╞░ß╗ƒng
[ 37]   8.34s -   8.37s: m├á
[ 38]   8.37s -   8.58s: gß║ºn
[ 39]   8.58s -   8.75s: nh╞░
[ 40]   8.75s -   8.92s: cß║ú
[ 41]   8.92s -   9.16s: ng├án
[ 42]   9.16s -   9.34s: c├┤ng
[ 43]   9.34s -   9.63s: nghß╗ç
[ 44]   9.63s -   9.77s: l├║c
[ 45]   9.77s -   9.94s: ─æ├│
[ 46]   9.94s -  10.07s: cho
[ 47]  10.07s -  10.20s: l├á
[ 48]  10.20s -  10.41s: bß║Ñt
[ 49]  10.41s -  10.58s: cß║ú
[ 50]  10.58s -  10.90s: th├¼
[ 51]  10.90s -  11.00s: l├á
[ 52]  11.00s -  11.21s: mß╗Öt
[ 53]  11.21s -  11.30s: ph├ón
[ 54]  11.30s -  11.45s: mß╗üm
[ 55]  11.45s -  11.69s: thiß║┐t
[ 56]  11.69s -  11.78s: kß║┐
[ 57]  11.78s -  11.99s: chuy├¬n
[ 58]  11.99s -  12.30s: nghiß╗çp
[ 59]  12.30s -  12.53s: chß║íy
[ 60]  12.53s -  12.71s: ngay
[ 61]  12.71s -  12.95s: tr├¬n
[ 62]  12.95s -  13.24s: ch├¡nh
[ 63]  13.24s -  13.64s: duet
[ 64]  13.64s -  13.64s: web.
[ 65]  13.64s -  13.94s: ├öng
[ 66]  13.94s -  14.20s: xinh
[ 67]  14.20s -  14.49s: n─âm
[ 68]  14.49s -  15.65s: 1991
[ 69]  15.65s -  15.72s: lß╗¢n
[ 70]  15.72s -  16.01s: l├¬n
[ 71]  16.01s -  16.24s: ß╗ƒ
[ 72]  16.24s -  16.61s: v├╣ng
[ 73]  16.61s -  16.79s: bay
[ 74]  16.79s -  17.40s: area,
[ 75]  17.40s -  17.47s: c├íi
[ 76]  17.47s -  17.66s: n├┤i
[ 77]  17.66s -  17.90s: cß╗ºa
[ 78]  17.90s -  18.28s: th╞░╞íng
[ 79]  18.28s -  18.42s: l┼⌐
[ 80]  18.42s -  18.82s: silicon
[ 81]  18.82s -  18.89s: v├á
[ 82]  18.89s -  19.03s: say
[ 83]  19.03s -  19.17s: may
[ 84]  19.17s -  19.35s: m├íy
[ 85]  19.35s -  19.58s: t─⌐nh
[ 86]  19.58s -  19.77s: tß╗▒
[ 87]  19.77s -  20.29s: nhß╗Å
[ 88]  20.29s -  20.29s: khi
[ 89]  20.29s -  20.62s: hß╗ìc
[ 90]  20.62s -  20.68s: khoa
[ 91]  20.68s -  20.90s: hß╗ìc
[ 92]  20.90s -  21.07s: m├íy
[ 93]  21.07s -  21.27s: t─⌐nh
[ 94]  21.27s -  21.49s: tß║íi
[ 95]  21.49s -  21.74s: ─æß║íi
[ 96]  21.74s -  22.24s: hß╗ìc
[ 97]  22.24s -  22.24s: round.
[ 98]  22.24s -  22.42s: ├öng
[ 99]  22.42s -  22.72s: gß║╖p
[100]  22.72s -  22.83s: Evan
[101]  22.83s -  23.26s: Wallace,
[102]  23.26s -  23.54s: mß╗Öt
[103]  23.54s -  23.77s: lß║¡p
[104]  23.77s -  24.04s: tr├¼nh
[105]  24.04s -  24.24s: vi├¬n
[106]  24.24s -  24.47s: ─æß╗ô
[107]  24.47s -  24.71s: hß╗ìa
[108]  24.71s -  24.94s: cß╗▒c
[109]  24.94s -  25.09s: kß╗│
[110]  25.09s -  25.41s: xuß║Ñt
[111]  25.41s -  25.80s: sß║»c.
[112]  25.88s -  26.13s: Ng╞░ß╗¥i
[113]  26.13s -  26.37s: tß╗½ng
[114]  26.37s -  26.53s: l├ám
[115]  26.53s -  26.73s: n├¬n
[116]  26.73s -  26.98s: nhß╗»ng
[117]  26.98s -  27.14s: demo
[118]  27.14s -  27.30s: web
[119]  27.30s -  27.42s: gß╗¥
[120]  27.42s -  27.58s: lß╗¥
[121]  27.58s -  27.87s: khiß║┐n
[122]  27.87s -  28.06s: dß╗æi
[123]  28.06s -  28.34s: lß║¡p
[124]  28.34s -  28.50s: tr├¼nh
[125]  28.50s -  28.75s: phß║úi
[126]  28.75s -  28.95s: ngß╗í
[127]  28.95s -  29.44s: ng├án,
[128]  29.44s -  29.47s: hai
[129]  29.47s -  29.77s: ng╞░ß╗¥i
[130]  29.77s -  29.94s: nhanh
[131]  29.94s -  30.15s: ch├│ng
[132]  30.15s -  30.37s: nhß║¡n
[133]  30.37s -  30.44s: ra
[134]  30.44s -  30.59s: hß╗ì
[135]  30.59s -  30.71s: c├│
[136]  30.71s -  30.89s: thß╗â
[137]  30.89s -  31.04s: l├ám
[138]  31.04s -  31.34s: ─æ╞░ß╗úc
[139]  31.34s -  31.60s: ─æiß╗üu
[140]  31.60s -  31.75s: m├á
[141]  31.75s -  32.01s: ng╞░ß╗¥i
[142]  32.01s -  32.37s: kh├íc
[143]  32.37s -  32.39s: ngh─⌐
[144]  32.39s -  32.56s: l├á
[145]  32.56s -  32.73s: kh├┤ng
[146]  32.73s -  33.16s: thß╗â.
[147]  33.16s -  33.41s: N─âm
[148]  33.41s -  34.17s: 2012
[149]  34.17s -  34.36s: khi
[150]  34.36s -  34.76s: ─æang
[151]  34.76s -  34.98s: hß╗ìc
[152]  34.98s -  35.23s: dß╗ƒ
[153]  35.23s -  35.91s: ─æß║íi
[154]  35.91s -  36.09s: hß╗ìc,
[155]  36.09s -  36.20s: ─Éi
[156]  36.20s -  36.32s: Lan
[157]  36.32s -  36.57s: nhß║¡n
[158]  36.57s -  36.91s: ─æ╞░ß╗úc
[159]  36.91s -  37.16s: hß╗ìc
[160]  37.16s -  37.36s: bß╗Ång
[161]  37.36s -  37.53s: Theo
[162]  37.53s -  38.22s: Fellowship
[163]  38.22s -  38.82s: 100.000
[164]  38.82s -  38.94s: USD
[165]  38.94s -  39.15s: ─æß╗â
[166]  39.15s -  39.31s: bß╗Å
[167]  39.31s -  39.52s: hß╗ìc
[168]  39.52s -  39.81s: v├á
[169]  39.81s -  39.89s: theo
[170]  39.89s -  40.06s: ─æß╗òi
[171]  40.06s -  40.14s: ├╜
[172]  40.14s -  40.47s: t╞░ß╗ƒng
[173]  40.47s -  40.68s: cß╗ºa
[174]  40.68s -  41.16s: m├¼nh.
[175]  41.16s -  41.36s: ├öng
[176]  41.36s -  41.56s: ─æ├ú
[177]  41.56s -  42.02s: ─æß╗ông
[178]  42.02s -  42.32s: ├╜,
[179]  42.32s -  42.36s: ─æ├│
[180]  42.36s -  42.47s: l├á
[181]  42.47s -  42.79s: mß╗Öt
[182]  42.79s -  42.98s: tranh
[183]  42.98s -  43.23s: bß║íc
[184]  43.23s -  43.79s: lß╗¢n,
[185]  43.79s -  43.79s: v├¼
[186]  43.79s -  44.02s: ph├ón
[187]  44.02s -  44.25s: mß╗üm
[188]  44.25s -  44.58s: thiß║┐t
[189]  44.58s -  44.82s: kß║┐
[190]  44.82s -  44.96s: l├║c
