  0: whisper='Albert' (40-390ms)  |  script='Albert'
  1: whisper='Einstein,' (390-720ms)  |  script='Einstein'
  2: whisper='người' (720-1170ms)  |  script='người'
  3: whisper='phát' (1170-1300ms)  |  script='phát'
  4: whisper='minh' (1300-1470ms)  |  script='minh'
  5: whisper='ra' (1470-1560ms)  |  script='ra'
  6: whisper='thuyết' (1560-1960ms)  |  script='thuyết'
  7: whisper='tương' (1960-2230ms)  |  script='tương'
  8: whisper='đối,' (2230-2660ms)  |  script='đối'
  9: whisper='thay' (2660-2820ms)  |  script='thay'
 10: whisper='đối' (2820-3060ms)  |  script='đổi'
 11: whisper='cách' (3060-3270ms)  |  script='cách'
 12: whisper='nhân' (3270-3490ms)  |  script='nhân'
 13: whisper='loại' (3490-3730ms)  |  script='loại'
 14: whisper='hiểu' (3730-3960ms)  |  script='hiểu'
 15: whisper='về' (3960-4120ms)  |  script='về'
 16: whisper='không' (4120-4370ms)  |  script='không'
 17: whisper='dán' (4370-4530ms)  |  script='gian'
 18: whisper='và' (4530-4650ms)  |  script='và'
 19: whisper='thời' (4650-4880ms)  |  script='thời'
 20: whisper='gian.' (4880-5240ms)  |  script='gian'
 21: whisper='Nhưng' (5240-5490ms)  |  script='Nhưng'
 22: whisper='ngoài' (5490-5730ms)  |  script='ngoài'
 23: whisper='đời,' (5730-6160ms)  |  script='đời'
 24: whisper='ông' (6160-6250ms)  |  script='ông'
 25: whisper='lại' (6250-6440ms)  |  script='lại'
 26: whisper='là' (6440-6620ms)  |  script='là'
 27: whisper='kiểu' (6620-6770ms)  |  script='kiểu'
 28: whisper='người' (6770-7080ms)  |  script='người'
 29: whisper='quên' (7080-7260ms)  |  script='quên'
 30: whisper='mang' (7260-7410ms)  |  script='mang'
 31: whisper='chìa' (7410-7580ms)  |  script='chìa'
 32: whisper='khóa' (7580-7750ms)  |  script='khóa'
 33: whisper='nhà' (7750-7900ms)  |  script='nhà'
 34: whisper='mình,' (7900-8300ms)  |  script='mình'
