  0: whisper='Bạn' (40-230ms)  |  script='Bạn' (phrase 0)
  1: whisper='để' (230-500ms)  |  script='để' (phrase 0)
  2: whisper='Deadly' (500-750ms)  |  script='deadline' (phrase 0)
  3: whisper='tới' (750-990ms)  |  script='tới' (phrase 0)
  4: whisper='sát' (990-1170ms)  |  script='sát' (phrase 0)
  5: whisper='nút' (1170-1350ms)  |  script='nút' (phrase 0)
  6: whisper='mới' (1350-1590ms)  |  script='mới' (phrase 0)
  7: whisper='làm,' (1590-1920ms)  |  script='làm' (phrase 0)
  8: whisper='xong' (1920-2120ms)  |  script='xong' (phrase 1)
  9: whisper='sản' (2120-2390ms)  |  script='sản' (phrase 1)
 10: whisper='phẩm' (2390-2710ms)  |  script='phẩm' (phrase 1)
 11: whisper='lại' (2710-2920ms)  |  script='lại' (phrase 1)
 12: whisper='ngon' (2920-3120ms)  |  script='ngon' (phrase 1)
 13: whisper='hơn' (3120-3370ms)  |  script='hơn' (phrase 1)
 14: whisper='hẳn.' (3370-3680ms)  |  script='hẳn' (phrase 1)
 15: whisper='Không' (3680-3980ms)  |  script='Không' (phrase 2)
 16: whisper='phải' (3980-4200ms)  |  script='phải' (phrase 2)
 17: whisper='bạn' (4200-4420ms)  |  script='bạn' (phrase 2)
 18: whisper='thiên' (4420-4720ms)  |  script='thiên' (phrase 2)
 19: whisper='tài' (4720-4850ms)  |  script='tài' (phrase 2)
 20: whisper='đâu,' (4850-5120ms)  |  script='đâu' (phrase 2)
 21: whisper='nào' (5120-5270ms)  |  script='não' (phrase 3)
 22: whisper='bạn' (5270-5450ms)  |  script='bạn' (phrase 3)
 23: whisper='đang' (5450-5630ms)  |  script='đang' (phrase 3)
 24: whisper='chơi' (5630-5810ms)  |  script='chơi' (phrase 3)
 25: whisper='một' (5810-5990ms)  |  script='một' (phrase 3)
 26: whisper='trò' (5990-6130ms)  |  script='trò' (phrase 3)
 27: whisper='rất' (6130-6310ms)  |  script='rất' (phrase 3)
 28: whisper='bẩn' (6310-6560ms)  |  script='bẩn' (phrase 3)
 29: whisper='với' (6560-6810ms)  |  script='với' (phrase 3)
 30: whisper='chính' (6810-7110ms)  |  script='chính' (phrase 3)
 31: whisper='bạn' (7110-7640ms)  |  script='bạn' (phrase 3)
 32: whisper='thôi.' (7640-7640ms)  |  script='thôi' (phrase 3)
 33: whisper='Thù' (7640-7880ms)  |  script='Thủ' (phrase 4)
 34: whisper='phạm' (7880-8240ms)  |  script='phạm' (phrase 4)
 35: whisper='là' (8240-8420ms)  |  script='là' (phrase 4)
 36: whisper='"Cottyzole".' (8420-9340ms)  |  script='cortisol' (phrase 4)
 37: whisper='Khi' (9340-9560ms)  |  script='Khi' (phrase 5)
 38: whisper='Deadly' (9560-10020ms)  |  script='deadline' (phrase 5)
 39: whisper='cận' (10020-10470ms)  |  script='cận' (phrase 5)
 40: whisper='kể,' (10470-10900ms)  |  script='kề' (phrase 5)
 41: whisper='cơ' (10900-11060ms)  |  script='cơ' (phrase 6)
 42: whisper='thể' (11060-11390ms)  |  script='thể' (phrase 6)
 43: whisper='coi' (11390-11460ms)  |  script='coi' (phrase 6)
 44: whisper='đó' (11460-11670ms)  |  script='đó' (phrase 6)
 45: whisper='như' (11670-11880ms)  |  script='như' (phrase 6)
 46: whisper='đang' (11880-12150ms)  |  script='đang' (phrase 6)
 47: whisper='bị' (12150-12350ms)  |  script='bị' (phrase 6)
 48: whisper='hồ' (12350-12550ms)  |  script='hổ' (phrase 6)
 49: whisper='đùi.' (12550-12880ms)  |  script='đuổi' (phrase 6)
 50: whisper='Và' (12880-13100ms)  |  script='và' (phrase 7)
 51: whisper='bị' (13100-13400ms)  |  script='bị' (phrase 7)
 52: whisper='hồ' (13400-13680ms)  |  script='hổ' (phrase 7)
 53: whisper='đùi' (13680-14120ms)  |  script='đuổi' (phrase 7)
 54: whisper='thì' (14120-14170ms)  |  script='thì' (phrase 7)
 55: whisper='nào' (14170-14280ms)  |  script='não' (phrase 7)
 56: whisper='không' (14280-14530ms)  |  script='không' (phrase 7)
 57: whisper='có' (14530-14670ms)  |  script='có' (phrase 7)
 58: whisper='thời' (14670-14900ms)  |  script='thời' (phrase 7)
 59: whisper='gian' (14900-15060ms)  |  script='gian' (phrase 7)
 60: whisper='lăn' (15060-15220ms)  |  script='lăn' (phrase 8)
 61: whisper='tân' (15220-15380ms)  |  script='tăn' (phrase 8)
 62: whisper='trình' (15380-15680ms)  |  script='chỉnh' (phrase 8)
 63: whisper='sửa' (15680-15940ms)  |  script='sửa' (phrase 8)
 64: whisper='5' (15940-16100ms)  |  script='5' (phrase 8)
 65: whisper='lần' (16100-16370ms)  |  script='lần' (phrase 8)
 66: whisper='nữa.' (16370-16680ms)  |  script='nữa' (phrase 8)
 67: whisper='Nó' (16680-16830ms)  |  script='nó' (phrase 9)
 68: whisper='chỉ' (16830-17110ms)  |  script='chỉ' (phrase 9)
 69: whisper='chạy' (17110-17410ms)  |  script='chạy' (phrase 9)
 70: whisper='thôi.' (17410-17880ms)  |  script='thôi' (phrase 9)
 71: whisper='Thứ' (17880-18250ms)  |  script='Thứ' (phrase 10)
 72: whisper='hai,' (18250-18650ms)  |  script='hai' (phrase 10)
 73: whisper='Deadly' (18650-18950ms)  |  script='deadline' (phrase 10)
 74: whisper='cách' (18950-19240ms)  |  script='cắt' (phrase 10)
 75: whisper='bất' (19240-19480ms)  |  script='bớt' (phrase 10)
 76: whisper='lựa' (19480-19740ms)  |  script='lựa' (phrase 10)
 77: whisper='chọn.' (19740-20160ms)  |  script='chọn' (phrase 10)
 78: whisper='Lúc' (20160-20320ms)  |  script='Lúc' (phrase 11)
 79: whisper='giảnh' (20320-20550ms)  |  script='rảnh' (phrase 11)
 80: whisper='bạn' (20550-20740ms)  |  script='bạn' (phrase 11)
 81: whisper='có' (20740-20850ms)  |  script='có' (phrase 11)
 82: whisper='100' (20850-21200ms)  |  script='100' (phrase 11)
 83: whisper='cách' (21200-21390ms)  |  script='cách' (phrase 11)
 84: whisper='bắt' (21390-21570ms)  |  script='bắt' (phrase 11)
 85: whisper='đầu,' (21570-21960ms)  |  script='đầu' (phrase 11)
 86: whisper='đứng' (21960-22220ms)  |  script='đứng' (phrase 12)
 87: whisper='trôn' (22220-22400ms)  |  script='chôn' (phrase 12)
 88: whisper='trên' (22400-22590ms)  |  script='chân' (phrase 12)
 89: whisper='cả' (22590-22740ms)  |  script='cả' (phrase 12)
