  0: whisper='Bạn' (40-200ms)  |  script='Bạn'
  1: whisper='nhắn' (200-440ms)  |  script='nhắn'
  2: whisper='cho' (440-560ms)  |  script='cho'
  3: whisper='bạn' (560-760ms)  |  script='bạn'
  4: whisper='thân,' (760-1200ms)  |  script='thân'
  5: whisper='mai' (1200-1200ms)  |  script='Mai'
  6: whisper='tàu' (1200-1400ms)  |  script='tao'
  7: whisper='gọi' (1400-1560ms)  |  script='gọi'
  8: whisper='cho' (1560-1700ms)  |  script='cho'
  9: whisper='mày' (1700-1840ms)  |  script='mày'
 10: whisper='để' (1840-2040ms)  |  script='để'
 11: whisper='bạn' (2040-2240ms)  |  script='bàn'
 12: whisper='chuyện' (2240-2560ms)  |  script='chuyện'
 13: whisper='đó' (2560-2760ms)  |  script='đó'
 14: whisper='nha.' (2760-3360ms)  |  script='nha'
 15: whisper='Người' (3360-3680ms)  |  script='Gửi'
 16: whisper='sông,' (3680-4060ms)  |  script='xong'
 17: whisper='bạn' (4060-4160ms)  |  script='bạn'
 18: whisper='tắt' (4160-4360ms)  |  script='tắt'
 19: whisper='điện' (4360-4640ms)  |  script='điện'
 20: whisper='thoại' (4640-4950ms)  |  script='thoại'
 21: whisper='thấy' (4950-5210ms)  |  script='thấy'
 22: whisper='nhẹ' (5210-5360ms)  |  script='nhẹ'
 23: whisper='hành' (5360-5560ms)  |  script='hẳn'
 24: whisper='người,' (5560-5980ms)  |  script='người'
 25: whisper='như' (5980-6150ms)  |  script='như'
 26: whisper='thế' (6150-6310ms)  |  script='thể'
 27: whisper='chuyện' (6310-6530ms)  |  script='chuyện'
 28: whisper='đó' (6530-6690ms)  |  script='đó'
 29: whisper='đã' (6690-6850ms)  |  script='đã'
 30: whisper='được' (6850-7050ms)  |  script='được'
 31: whisper='giải' (7050-7340ms)  |  script='giải'
 32: whisper='quyết.' (7340-7540ms)  |  script='quyết'
 33: whisper='Nhưng' (7540-7820ms)  |  script='Nhưng'
 34: whisper='ngày' (7820-8070ms)  |  script='ngày'
 35: whisper='mai' (8070-8200ms)  |  script='mai'
 36: whisper='chưa' (8200-8680ms)  |  script='chưa'
 37: whisper='tới,' (8680-8820ms)  |  script='tới'
 38: whisper='của' (8820-9010ms)  |  script='cuộc'
 39: whisper='gọi' (9010-9240ms)  |  script='gọi'
 40: whisper='chưa' (9240-9480ms)  |  script='chưa'
 41: whisper='xảy' (9480-9920ms)  |  script='xảy'
 42: whisper='ra,' (9920-10000ms)  |  script='ra'
 43: whisper='chuyện' (10000-10340ms)  |  script='chuyện'
 44: whisper='vận' (10340-10550ms)  |  script='vẫn'
 45: whisper='yên' (10550-10790ms)  |  script='y'
 46: whisper='huyen' (10790-10910ms)  |  script='nguyên'
 47: whisper='như' (10910-11120ms)  |  script='như'
 48: whisper='cú,' (11120-11340ms)  |  script='cũ'
 49: whisper='đó' (11340-11500ms)  |  script='Đó'
 50: whisper='là' (11500-11620ms)  |  script='là'
 51: whisper='hiệu' (11620-11860ms)  |  script='hiệu'
 52: whisper='ứng' (11860-12060ms)  |  script='ứng'
 53: whisper='dì' (12060-12180ms)  |  script='Zeigarnik'
 54: whisper='gà' (12180-12300ms)  |  script='ngược'
 55: whisper='ních' (12300-12580ms)  |  script='Cơ'
 56: whisper='ngược.' (12580-12880ms)  |  script='chế'
 57: whisper='Cơ' (12880-13000ms)  |  script='của'
 58: whisper='chế' (13000-13230ms)  |  script='nó'
 59: whisper='của' (13230-13410ms)  |  script='thế'
 60: whisper='nó' (13410-13530ms)  |  script='này'
 61: whisper='thế' (13530-13740ms)  |  script='bình'
 62: whisper='này,' (13740-14070ms)  |  script='thường'
 63: whisper='bình' (14070-14220ms)  |  script='não'
 64: whisper='thường' (14220-14550ms)  |  script='bạn'
 65: whisper='não' (14550-14680ms)  |  script='cực'
 66: whisper='bạn' (14680-14860ms)  |  script='kỳ'
 67: whisper='cực' (14860-15030ms)  |  script='khó'
 68: whisper='kỳ' (15030-15170ms)  |  script='chịu'
 69: whisper='khó' (15170-15300ms)  |  script='với'
 70: whisper='chịu' (15300-15510ms)  |  script='việc'
 71: whisper='với' (15510-15690ms)  |  script='dang'
 72: whisper='việc' (15690-15910ms)  |  script='dở'
 73: whisper='răng' (15910-16080ms)  |  script='đó'
 74: whisper='giờ.' (16080-16420ms)  |  script='là'
 75: whisper='Đó' (16420-16600ms)  |  script='lý'
 76: whisper='là' (16600-16740ms)  |  script='do'
 77: whisper='lý' (16740-16870ms)  |  script='bạn'
 78: whisper='do' (16870-16960ms)  |  script='cứ'
 79: whisper='bạn' (16960-17190ms)  |  script='nhớ'
 80: whisper='cứ' (17190-17370ms)  |  script='mãi'
 81: whisper='nhớ' (17370-17600ms)  |  script='một'
 82: whisper='mãi' (17600-17780ms)  |  script='tin'
 83: whisper='một' (17780-18020ms)  |  script='nhắn'
 84: whisper='tin' (18020-18150ms)  |  script='chưa'
 85: whisper='nhắn' (18150-18420ms)  |  script='trả'
 86: whisper='chưa' (18420-18650ms)  |  script='lời'
 87: whisper='trả' (18650-18880ms)  |  script='một'
 88: whisper='lời,' (18880-19320ms)  |  script='bộ'
 89: whisper='một' (19320-19570ms)  |  script='phim'
 90: whisper='bộ' (19570-19790ms)  |  script='xem'
 91: whisper='phim' (19790-20010ms)  |  script='dở'
 92: whisper='xem' (20010-20180ms)  |  script='giữa'
 93: whisper='giở' (20180-20460ms)  |  script='chừng'
 94: whisper='dưỡi' (20460-20840ms)  |  script='Nhưng'
 95: whisper='trừng.' (20840-21520ms)  |  script='có'
 96: whisper='Nhưng' (21520-21770ms)  |  script='một'
 97: whisper='có' (21770-21890ms)  |  script='lỗ'
 98: whisper='một' (21890-22100ms)  |  script='hổng'
 99: whisper='lỗ' (22100-22260ms)  |  script='chỉ'
100: whisper='hồng,' (22260-22600ms)  |  script='cần'
101: whisper='chỉ' (22600-22800ms)  |  script='bạn'
102: whisper='cần' (22800-23010ms)  |  script='nói'
103: whisper='bạn' (23010-23220ms)  |  script='ra'
104: whisper='nói' (23220-23390ms)  |  script='hoặc'
105: whisper='ra' (23390-23470ms)  |  script='hẹn'
106: whisper='hoặc' (23470-23720ms)  |  script='sẽ'
107: whisper='hẹn' (23720-23920ms)  |  script='làm'
108: whisper='sẽ' (23920-24090ms)  |  script='dù'
