  0: whisper='thành' (40-230ms)  |  script='Thành'
  1: whisper='cá' (230-340ms)  |  script='Cát'
  2: whisper='tư' (340-440ms)  |  script='Tư'
  3: whisper='hãn' (440-570ms)  |  script='Hãn'
  4: whisper='là' (570-680ms)  |  script='là'
  5: whisper='người' (680-1010ms)  |  script='người'
  6: whisper='sáng' (1010-1170ms)  |  script='sáng'
  7: whisper='lập' (1170-1350ms)  |  script='lập'
  8: whisper='đế' (1350-1530ms)  |  script='Đế'
  9: whisper='quốc' (1530-1780ms)  |  script='quốc'
 10: whisper='mông' (1780-1920ms)  |  script='Mông'
 11: whisper='cổ' (1920-2310ms)  |  script='Cổ'
 12: whisper='để' (2310-2450ms)  |  script='đế'
 13: whisper='chế' (2450-2630ms)  |  script='chế'
 14: whisper='liền' (2630-2850ms)  |  script='liền'
 15: whisper='lãnh' (2850-3050ms)  |  script='lãnh'
 16: whisper='thổ' (3050-3200ms)  |  script='thổ'
 17: whisper='lớn' (3200-3380ms)  |  script='lớn'
 18: whisper='nhất' (3380-3680ms)  |  script='nhất'
 19: whisper='lịch' (3680-3900ms)  |  script='lịch'
 20: whisper='sử' (3900-4040ms)  |  script='sử'
 21: whisper='nhân' (4040-4230ms)  |  script='nhân'
 22: whisper='loại,' (4230-4580ms)  |  script='loại'
 23: whisper='trải' (4580-4820ms)  |  script='trải'
 24: whisper='giải' (4820-5060ms)  |  script='dài'
 25: whisper='từ' (5060-5220ms)  |  script='từ'
 26: whisper='thái' (5220-5420ms)  |  script='Thái'
 27: whisper='bình' (5420-5620ms)  |  script='Bình'
 28: whisper='dương' (5620-5980ms)  |  script='Dương'
 29: whisper='đến' (5980-6160ms)  |  script='đến'
 30: whisper='tận' (6160-6360ms)  |  script='tận'
 31: whisper='đông' (6360-6600ms)  |  script='Đông'
 32: whisper='âu.' (6600-6920ms)  |  script='Âu'
 33: whisper='Những' (6920-7170ms)  |  script='Nhưng'
 34: whisper='ít' (7170-7270ms)  |  script='ít'
 35: whisper='ai' (7270-7410ms)  |  script='ai'
 36: whisper='biết' (7410-7560ms)  |  script='biết'
 37: whisper='rằng' (7560-7780ms)  |  script='rằng'
 38: whisper='người' (7780-8100ms)  |  script='người'
 39: whisper='đàn' (8100-8250ms)  |  script='đàn'
 40: whisper='ông' (8250-8410ms)  |  script='ông'
 41: whisper='ấy' (8410-8540ms)  |  script='ấy'
 42: whisper='bắt' (8540-8700ms)  |  script='bắt'
 43: whisper='đầu' (8700-8920ms)  |  script='đầu'
 44: whisper='cuộc' (8920-9200ms)  |  script='cuộc'
 45: whisper='đời' (9200-9350ms)  |  script='đời'
 46: whisper='từ' (9350-9490ms)  |  script='từ'
 47: whisper='đại' (9490-9710ms)  |  script='đáy'
 48: whisper='sã' (9710-9800ms)  |  script='xã'
 49: whisper='hội' (9800-10320ms)  |  script='hội'
 50: whisper='bị' (10320-10320ms)  |  script='bị'
 51: whisper='chính' (10320-10600ms)  |  script='chính'
 52: whisper='bộ' (10600-10820ms)  |  script='bộ'
 53: whisper='tộc' (10820-11020ms)  |  script='tộc'
 54: whisper='của' (11020-11230ms)  |  script='của'
 55: whisper='mình' (11230-11460ms)  |  script='mình'
 56: whisper='bỏ' (11460-11680ms)  |  script='bỏ'
 57: whisper='rơi.' (11680-11920ms)  |  script='rơi'
 58: whisper='Ông' (11920-12180ms)  |  script='Ông'
 59: whisper='Tên' (12180-12440ms)  |  script='tên'
 60: whisper='thật' (12440-12840ms)  |  script='thật'
 61: whisper='là' (12840-13040ms)  |  script='là'
 62: whisper='Tê' (13040-13230ms)  |  script='Temüjin'
 63: whisper='Mú' (13230-13480ms)  |  script='Khi'
 64: whisper='Dên.' (13480-13760ms)  |  script='ông'
 65: whisper='Khi' (13760-13980ms)  |  script='mới'
 66: whisper='ông' (13980-14070ms)  |  script='khoảng'
 67: whisper='mới' (14070-14290ms)  |  script='9'
 68: whisper='khoảng' (14290-14640ms)  |  script='tuổi'
 69: whisper='9' (14640-14770ms)  |  script='cha'
 70: whisper='tuổi,' (14770-15290ms)  |  script='ông'
 71: whisper='tra' (15290-15340ms)  |  script='bị'
 72: whisper='ông' (15340-15550ms)  |  script='người'
 73: whisper='bị' (15550-15760ms)  |  script='Tatar'
 74: whisper='người' (15760-16200ms)  |  script='đầu'
 75: whisper='ta' (16200-16280ms)  |  script='độc'
 76: whisper='ta' (16280-16380ms)  |  script='Cả'
 77: whisper='đầu' (16380-16800ms)  |  script='gia'
 78: whisper='đọc.' (16800-17060ms)  |  script='đình'
 79: whisper='Cả' (17060-17250ms)  |  script='bị'
 80: whisper='gia' (17250-17340ms)  |  script='bộ'
 81: whisper='đình' (17340-17580ms)  |  script='tộc'
 82: whisper='bị' (17580-17740ms)  |  script='ruồng'
 83: whisper='bộ' (17740-17900ms)  |  script='bỏ'
 84: whisper='tộc' (17900-18100ms)  |  script='giữa'
 85: whisper='Duôn' (18100-18300ms)  |  script='thảo'
 86: whisper='bỏ' (18300-18460ms)  |  script='nguyên'
 87: whisper='giữa' (18460-18700ms)  |  script='khắc'
 88: whisper='thảo' (18700-18940ms)  |  script='nghiệt'
 89: whisper='luên' (18940-19140ms)  |  script='phải'
 90: whisper='khắc' (19140-19380ms)  |  script='sống'
 91: whisper='nghiệt.' (19380-19960ms)  |  script='sót'
