  0: whisper='Charles' (50-370ms)  |  script='Charles'
  1: whisper='Darwin' (370-690ms)  |  script='Darwin'
  2: whisper='vết' (690-950ms)  |  script='viết'
  3: whisper='ra' (950-1050ms)  |  script='ra'
  4: whisper='thuyết' (1050-1460ms)  |  script='thuyết'
  5: whisper='tiên' (1460-1770ms)  |  script='tiến'
  6: whisper='hòa,' (1770-2000ms)  |  script='hóa'
  7: whisper='thay' (2000-2140ms)  |  script='thay'
  8: whisper='đổi' (2140-2360ms)  |  script='đổi'
  9: whisper='hoàn' (2360-2540ms)  |  script='hoàn'
 10: whisper='toàn' (2540-2720ms)  |  script='toàn'
 11: whisper='các' (2720-2870ms)  |  script='cách'
 12: whisper='nhân' (2870-3060ms)  |  script='nhân'
 13: whisper='loại' (3060-3290ms)  |  script='loại'
 14: whisper='hiểu' (3290-3500ms)  |  script='hiểu'
 15: whisper='về' (3500-3650ms)  |  script='về'
 16: whisper='nguồn' (3650-3890ms)  |  script='nguồn'
 17: whisper='gốc' (3890-4070ms)  |  script='gốc'
 18: whisper='sự' (4070-4220ms)  |  script='sự'
 19: whisper='sống.' (4220-4660ms)  |  script='sống'
 20: whisper='Nhưng' (4660-4910ms)  |  script='Nhưng'
 21: whisper='trước' (4910-5270ms)  |  script='trước'
 22: whisper='khi' (5270-5380ms)  |  script='khi'
 23: whisper='trở' (5380-5600ms)  |  script='trở'
 24: whisper='thành' (5600-5850ms)  |  script='thành'
 25: whisper='nhà' (5850-6020ms)  |  script='nhà'
 26: whisper='khoa' (6020-6260ms)  |  script='khoa'
 27: whisper='học' (6260-6400ms)  |  script='học'
 28: whisper='vị' (6400-6570ms)  |  script='vĩ'
 29: whisper='đại' (6570-7060ms)  |  script='đại'
 30: whisper='đó,' (7060-7060ms)  |  script='đó'
 31: whisper='ông' (7060-7250ms)  |  script='ông'
 32: whisper='từng' (7250-7530ms)  |  script='từng'
 33: whisper='có' (7530-7670ms)  |  script='có'
 34: whisper='một' (7670-7940ms)  |  script='một'
 35: whisper='sở' (7940-8090ms)  |  script='sở'
 36: whisper='thích' (8090-8360ms)  |  script='thích'
 37: whisper='kỳ' (8360-8570ms)  |  script='kỳ'
 38: whisper='lạng' (8570-8890ms)  |  script='lạ'
 39: whisper='anh' (8890-8990ms)  |  script='ăn'
 40: whisper='gần' (8990-9210ms)  |  script='gần'
 41: whisper='như' (9210-9390ms)  |  script='như'
 42: whisper='mọi' (9390-9610ms)  |  script='mọi'
 43: whisper='con' (9610-9740ms)  |  script='con'
 44: whisper='vật' (9740-9960ms)  |  script='vật'
 45: whisper='ông' (9960-10140ms)  |  script='ông'
 46: whisper='nghiên' (10140-10630ms)  |  script='nghiên'
 47: whisper='cứu.' (10630-10760ms)  |  script='cứu'
 48: whisper='Đúng' (10760-11060ms)  |  script='Đúng'
 49: whisper='vậy,' (11060-11580ms)  |  script='vậy'
 50: whisper='thời' (11580-11740ms)  |  script='thời'
 51: whisper='xinh' (11740-11910ms)  |  script='sinh'
 52: whisper='viên' (11910-12210ms)  |  script='viên'
 53: whisper='ở' (12210-12280ms)  |  script='ở'
 54: whisper='Cambridge,' (12280-12760ms)  |  script='Cambridge'
 55: whisper='Darwin' (12760-13080ms)  |  script='Darwin'
