  0: whisper='ái' (40-120ms)  |  script='Isaac'
  1: whisper='xác' (120-310ms)  |  script='Newton'
  2: whisper='Newton' (310-590ms)  |  script='ngồi'
  3: whisper='ngồi' (590-870ms)  |  script='dưới'
  4: whisper='dưới' (870-1210ms)  |  script='gốc'
  5: whisper='gốc' (1210-1420ms)  |  script='táo'
  6: whisper='táo,' (1420-1950ms)  |  script='một'
  7: whisper='một' (1950-1990ms)  |  script='quả'
  8: whisper='quả' (1990-2210ms)  |  script='táo'
  9: whisper='táo' (2210-2380ms)  |  script='rơi'
 10: whisper='dưới' (2380-2710ms)  |  script='trúng'
 11: whisper='chúng' (2710-2960ms)  |  script='đầu'
 12: whisper='đầu' (2960-3430ms)  |  script='và'
 13: whisper='và' (3430-3480ms)  |  script='ông'
 14: whisper='ông' (3480-3630ms)  |  script='phát'
 15: whisper='Phát' (3630-3890ms)  |  script='minh'
 16: whisper='Minh' (3890-4080ms)  |  script='ra'
 17: whisper='ra' (4080-4180ms)  |  script='lực'
 18: whisper='lực' (4180-4440ms)  |  script='hấp'
 19: whisper='khắp' (4440-4730ms)  |  script='dẫn'
 20: whisper='dẫn.' (4730-5060ms)  |  script='Câu'
 21: whisper='Câu' (5060-5350ms)  |  script='chuyện'
 22: whisper='chuyện' (5350-5690ms)  |  script='hay'
 23: whisper='hay' (5690-5850ms)  |  script='đấy'
 24: whisper='đấy,' (5850-6330ms)  |  script='chỉ'
 25: whisper='chỉ' (6330-6540ms)  |  script='có'
 26: whisper='có' (6540-6700ms)  |  script='điều'
 27: whisper='điều,' (6700-7290ms)  |  script='nó'
 28: whisper='nó' (7290-7390ms)  |  script='hơi'
 29: whisper='hơi' (7390-7590ms)  |  script='bị'
 30: whisper='bị' (7590-7790ms)  |  script='chế'
 31: whisper='chế' (7790-8040ms)  |  script='thêm'
 32: whisper='thêm' (8040-8290ms)  |  script='gia'
 33: whisper='gia' (8290-8680ms)  |  script='vị'
 34: whisper='vị.' (8680-8700ms)  |  script='Sự'
 35: whisper='Sự' (8700-8940ms)  |  script='thật'
 36: whisper='thật' (8940-9300ms)  |  script='là'
 37: whisper='là' (9300-9480ms)  |  script='Newton'
 38: whisper='Newton,' (9480-10200ms)  |  script='chỉ'
 39: whisper='chỉ' (10200-10260ms)  |  script='nhìn'
 40: whisper='nhìn' (10260-10500ms)  |  script='thấy'
 41: whisper='thấy' (10500-10800ms)  |  script='một'
 42: whisper='một' (10800-11080ms)  |  script='quả'
 43: whisper='quả' (11080-11300ms)  |  script='táo'
 44: whisper='táo' (11300-11500ms)  |  script='rơi'
 45: whisper='dưới' (11500-11840ms)  |  script='từ'
 46: whisper='từ' (11840-12100ms)  |  script='xa'
 47: whisper='xa' (12100-12230ms)  |  script='không'
 48: whisper='không' (12230-12410ms)  |  script='hề'
 49: whisper='hề' (12410-12570ms)  |  script='bị'
 50: whisper='bị' (12570-12730ms)  |  script='đánh'
 51: whisper='đánh' (12730-12970ms)  |  script='trúng'
 52: whisper='chúng' (12970-13220ms)  |  script='đầu'
 53: whisper='đầu' (13220-13530ms)  |  script='như'
 54: whisper='như' (13530-13630ms)  |  script='phim'
 55: whisper='phim' (13630-13800ms)  |  script='hoạt'
 56: whisper='hoạt' (13800-14030ms)  |  script='hình'
 57: whisper='hình' (14030-14220ms)  |  script='vẫn'
 58: whisper='vẫn' (14220-14480ms)  |  script='vẽ'
 59: whisper='vẽ.' (14480-14780ms)  |  script='Ông'
 60: whisper='Ông' (14780-15040ms)  |  script='ấy'
 61: whisper='ấy' (15040-15180ms)  |  script='chỉ'
 62: whisper='chỉ' (15180-15430ms)  |  script='đang'
 63: whisper='đã' (15430-15630ms)  |  script='ngồi'
 64: whisper='ngồi' (15630-15930ms)  |  script='suy'
 65: whisper='suy' (15930-16080ms)  |  script='nghĩ'
 66: whisper='nghĩ' (16080-16340ms)  |  script='vẩn'
 67: whisper='vần' (16340-16580ms)  |  script='vơ'
 68: whisper='vơ' (16580-17060ms)  |  script='thôi'
 69: whisper='thôi,' (17060-17170ms)  |  script='và'
 70: whisper='và' (17170-17350ms)  |  script='tự'
 71: whisper='tự' (17350-17560ms)  |  script='dưng'
 72: whisper='dự' (17560-17780ms)  |  script='nghĩ'
 73: whisper='nghĩ,' (17780-18240ms)  |  script='Ơ'
 74: whisper='ơ,' (18240-18640ms)  |  script='sao'
 75: whisper='sao' (18640-18760ms)  |  script='táo'
 76: whisper='tảo' (18760-18960ms)  |  script='lại'
 77: whisper='lại' (18960-19170ms)  |  script='rơi'
 78: whisper='dưới' (19170-19450ms)  |  script='xuống'
 79: whisper='xuống' (19450-19740ms)  |  script='mà'
 80: whisper='mà' (19740-19860ms)  |  script='không'
 81: whisper='không' (19860-20110ms)  |  script='bay'
 82: whisper='bay' (20110-20310ms)  |  script='ngang'
 83: whisper='ngang.' (20310-20620ms)  |  script='câu'
 84: whisper='Câu' (20620-20820ms)  |  script='hỏi'
 85: whisper='hỏi' (20820-20980ms)  |  script='tưởng'
 86: whisper='tưởng' (20980-21310ms)  |  script='ngớ'
 87: whisper='ngửa' (21310-21550ms)  |  script='ngẩn'
 88: whisper='ngần' (21550-21790ms)  |  script='này'
 89: whisper='này' (21790-22130ms)  |  script='lại'
 90: whisper='lại' (22130-22150ms)  |  script='đẻ'
 91: whisper='đẻ' (22150-22350ms)  |  script='ra'
 92: whisper='ra' (22350-22430ms)  |  script='cả'
 93: whisper='cả' (22430-22590ms)  |  script='một'
 94: whisper='một' (22590-22790ms)  |  script='định'
 95: whisper='định' (22790-23070ms)  |  script='luật'
 96: whisper='luật' (23070-23340ms)  |  script='thay'
 97: whisper='thay' (23340-23470ms)  |  script='đổi'
 98: whisper='đổi' (23470-23710ms)  |  script='vật'
 99: whisper='vật' (23710-23910ms)  |  script='lý'
100: whisper='lý' (23910-24020ms)  |  script='học'
101: whisper='học,' (24020-24500ms)  |  script='Nhưng'
102: whisper='nhưng' (24500-24950ms)  |  script='khoan'
103: whisper='quan,' (24950-25260ms)  |  script='Newton'
104: whisper='Newton' (25350-25550ms)  |  script='không'
105: whisper='không' (25550-25820ms)  |  script='chỉ'
106: whisper='chỉ' (25820-25990ms)  |  script='có'
107: whisper='có' (25990-26140ms)  |  script='mỗi'
108: whisper='mỗi' (26140-26330ms)  |  script='lực'
109: whisper='lực' (26330-26550ms)  |  script='hấp'
110: whisper='khắp' (26550-26790ms)  |  script='dẫn'
111: whisper='dẫn' (26790-27000ms)  |  script='đâu'
112: whisper='đâu.' (27000-27420ms)  |  script='Ông'
113: whisper='Ông' (27420-27530ms)  |  script='này'
114: whisper='này' (27530-27670ms)  |  script='còn'
115: whisper='còn' (27670-27840ms)  |  script='là'
116: whisper='là' (27840-27970ms)  |  script='một'
